STATE,Benefits
09/30/2017,"34,137,583"
10/31/2017,"32,169,461"
11/30/2017,"31,421,525"
12/31/2017,"30,844,087"
01/31/2018,"30,950,857"
02/28/2018,"26,834,541"
03/31/2018,"29,327,527"
04/30/2018,"24,453,844"
05/31/2018,"27,926,264"
06/30/2018,"28,048,391"
07/31/2018,"31,170,715"
08/31/2018,"37,315,689"
09/30/2018,"28,594,997"
10/31/2018,"27,219,694"
11/30/2018,"27,868,342"
12/31/2018,"25,323,854"
01/31/2019,"28,400,156"
02/28/2019,"23,983,375"
03/31/2019,"23,809,911"
04/30/2019,"23,346,047"
05/31/2019,"26,340,130"
06/30/2019,"24,246,244"
07/31/2019,"30,613,467"
08/31/2019,"33,246,437"
09/30/2019,"27,450,828"
10/31/2019,"30,242,818"
11/30/2019,"22,117,883"
12/31/2019,"25,733,742"
01/31/2020,"26,298,500"
02/29/2020,"21,871,939"
03/31/2020,"21,443,452"
04/30/2020,"182,971,440"
05/31/2020,"784,758,376"
06/30/2020,"774,145,423"
07/31/2020,"645,191,959"
08/31/2020,"353,849,513"
09/30/2020,"276,565,106"
10/31/2020,"212,369,635"
11/30/2020,"121,158,043"
12/31/2020,"119,602,616"
01/31/2021,"98,798,436"
02/28/2021,"103,526,118"
03/31/2021,"85,141,397"
04/30/2021,"82,836,820"
05/31/2021,"76,552,949"
06/30/2021,"62,464,693"
07/31/2021,"54,832,837"
08/31/2021,"43,809,417"
09/30/2021,"33,114,533"
10/31/2021,"37,540,946"
11/30/2021,"29,801,360"
12/31/2021,"34,880,853"
01/31/2022,"32,088,219"
