STATE,Benefits
09/30/2017,"34,467,107"
10/31/2017,"40,041,620"
11/30/2017,"35,872,242"
12/31/2017,"38,902,496"
01/31/2018,"57,274,366"
02/28/2018,"45,067,496"
03/31/2018,"41,488,502"
04/30/2018,"41,246,924"
05/31/2018,"32,342,676"
06/30/2018,"32,013,673"
07/31/2018,"42,000,605"
08/31/2018,"35,641,104"
09/30/2018,"29,405,307"
10/31/2018,"33,949,658"
11/30/2018,"29,686,337"
12/31/2018,"39,168,629"
01/31/2019,"42,793,174"
02/28/2019,"40,772,813"
03/31/2019,"37,234,696"
04/30/2019,"36,942,809"
05/31/2019,"28,521,433"
06/30/2019,"28,938,277"
07/31/2019,"39,478,297"
08/31/2019,"32,902,107"
09/30/2019,"31,818,744"
10/31/2019,"26,901,537"
11/30/2019,"26,978,200"
12/31/2019,"38,339,119"
01/31/2020,"39,201,549"
02/29/2020,"36,999,215"
03/31/2020,"51,412,721"
04/30/2020,"224,250,704"
05/31/2020,"293,545,863"
06/30/2020,"314,802,107"
07/31/2020,"230,995,326"
08/31/2020,"204,036,232"
09/30/2020,"139,430,855"
10/31/2020,"95,137,469"
11/30/2020,"78,481,465"
12/31/2020,"100,534,931"
01/31/2021,"71,562,272"
02/28/2021,"83,305,935"
03/31/2021,"92,433,379"
04/30/2021,"47,323,658"
05/31/2021,"28,069,512"
06/30/2021,"34,214,153"
07/31/2021,"32,770,080"
08/31/2021,"36,743,771"
09/30/2021,"37,053,614"
10/31/2021,"37,550,930"
11/30/2021,"40,219,410"
12/31/2021,"35,263,297"
01/31/2022,"44,794,621"
