"SQGDP8 Chain-type quantity indexes for real GDP by state (2012=100.0)"
"Chain-type quantity indexes for real GDP by state: Private industries (Quantity index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4"
"13000","Georgia",98.763,99.550,99.962,101.105,100.718,100.858,101.397,102.314,100.519,101.457,102.539,103.424,100.636,101.106,100.050,96.169,94.891,94.941,94.741,95.210,94.838,95.353,96.355,97.946,97.633,97.752,98.335,99.170,99.634,99.963,100.334,100.069,101.762,101.675,102.386,103.351,104.272,105.933,107.182,107.664,109.238,110.829,111.513,112.413,114.390,115.075,115.983,117.047,118.709,119.140,119.997,121.926,121.794,123.169,124.483,125.319,126.569,128.745,129.377,129.334,126.431,115.416,124.303,125.276,127.358,129.965,130.925,133.580
"15000","Hawaii",92.202,93.571,94.979,95.913,95.668,96.437,97.034,97.083,97.184,97.825,99.542,100.500,99.839,100.286,98.471,95.903,94.216,93.946,93.582,94.357,94.974,95.994,97.708,98.536,97.532,97.587,97.608,98.936,99.431,99.925,100.457,100.186,102.793,102.021,102.601,102.968,101.582,102.570,103.701,104.117,105.754,107.013,107.546,108.620,108.321,109.004,109.656,109.896,111.487,112.066,113.013,113.127,114.276,115.677,115.374,114.419,113.017,113.307,114.719,114.302,110.307,91.372,95.656,97.066,98.417,104.744,106.094,108.171
"16000","Idaho",93.034,94.766,96.163,95.479,98.003,98.576,96.840,97.687,98.649,98.975,100.017,102.262,102.282,104.508,104.343,101.170,99.150,96.305,97.245,96.856,98.604,98.998,100.293,101.026,99.688,99.594,99.399,101.022,99.791,100.329,100.604,99.276,102.226,104.108,105.380,107.382,107.276,108.124,109.182,109.962,110.399,109.186,109.263,109.032,112.821,113.924,114.803,114.181,114.321,115.827,116.966,118.323,122.511,123.723,124.568,126.138,127.916,129.099,130.409,131.410,130.852,120.300,131.726,133.833,136.252,136.990,136.363,139.597
"17000","Illinois",93.345,93.463,94.046,94.071,96.154,96.228,96.195,96.915,96.969,97.527,97.828,98.808,97.217,97.971,97.624,94.525,93.631,93.678,93.909,94.886,93.617,94.801,96.138,96.525,96.600,97.448,97.340,98.802,100.354,100.595,99.919,99.132,100.096,99.420,99.596,100.707,100.439,102.302,103.570,103.600,103.683,104.157,105.057,104.434,103.843,104.005,103.755,104.718,103.861,104.608,105.280,105.918,107.219,107.889,108.240,108.306,108.371,108.379,108.710,108.544,106.310,96.346,103.577,104.290,107.093,107.843,108.372,109.889
"18000","Indiana",95.025,95.738,96.196,95.899,96.194,96.116,96.384,97.414,98.191,100.564,101.827,103.072,102.034,101.695,99.255,95.276,90.644,90.467,91.438,94.579,96.264,98.276,99.908,99.856,99.269,98.980,98.711,100.175,100.213,100.646,100.169,98.973,103.008,102.069,103.233,103.401,104.567,106.188,106.746,105.744,104.581,105.142,104.457,104.909,105.294,106.316,107.285,107.939,107.616,108.339,108.587,110.030,111.980,112.713,112.865,112.882,112.082,112.979,113.291,113.676,112.594,100.712,112.307,113.621,116.526,117.868,117.900,119.626
"19000","Iowa",90.536,90.666,91.364,90.248,91.542,92.202,91.507,92.934,94.601,96.848,97.188,97.577,96.532,95.937,93.716,90.676,89.752,90.295,91.736,93.124,92.524,93.991,94.251,95.019,94.002,94.744,95.405,98.674,99.854,101.175,100.585,98.386,99.637,98.900,100.169,101.190,102.230,105.625,107.251,107.205,108.351,108.566,109.000,108.891,108.165,106.952,108.176,107.960,108.058,107.772,106.758,107.854,108.923,109.655,109.726,109.789,107.953,108.628,110.404,110.997,108.700,100.955,108.773,110.361,113.714,115.528,115.195,114.463
"20000","Kansas",86.749,86.916,87.043,85.166,90.800,91.347,91.005,92.110,95.144,96.180,96.497,97.488,98.676,99.713,98.408,95.079,93.542,93.310,93.735,94.922,92.313,94.092,96.246,97.212,96.684,98.437,98.142,98.775,103.582,101.662,97.527,97.228,98.696,99.702,100.230,102.246,99.172,102.301,105.280,106.592,104.327,106.517,107.213,108.100,108.311,110.350,111.536,112.040,111.943,111.438,111.853,112.121,113.433,114.479,115.315,115.845,114.032,115.462,116.190,117.358,116.061,105.578,115.267,116.393,117.249,118.311,117.851,118.368
"21000","Kentucky",94.829,96.408,97.315,97.474,99.057,99.555,98.893,98.422,97.233,97.825,97.765,99.043,98.484,98.992,96.474,93.647,92.377,91.437,92.518,94.453,93.509,96.266,98.312,98.659,96.984,97.614,98.106,100.496,100.175,100.620,100.112,99.093,102.979,102.029,102.557,102.407,101.834,103.147,103.373,103.236,103.068,104.347,104.275,104.679,103.265,105.064,106.380,106.263,105.761,106.476,106.749,107.544,107.163,108.466,108.188,108.381,109.331,110.159,110.761,111.452,110.087,98.144,109.515,110.147,111.630,112.167,112.280,114.067
"22000","Louisiana",105.417,106.945,104.873,105.105,105.611,105.284,104.615,104.905,99.827,98.670,98.298,98.030,98.266,99.553,99.574,100.512,100.615,99.615,100.285,101.302,104.251,105.745,106.296,104.176,100.312,99.154,98.125,99.937,101.339,101.715,99.173,97.772,97.688,96.521,97.142,97.706,97.704,100.810,102.474,103.137,101.402,100.353,99.968,98.878,97.883,97.713,97.721,98.419,99.780,100.444,100.561,100.405,101.676,101.747,101.267,101.021,101.152,100.822,101.513,101.770,99.301,89.039,95.605,95.612,96.169,97.946,97.152,98.757
"23000","Maine",100.400,100.849,101.432,102.401,102.136,102.934,101.897,102.449,101.131,102.582,102.685,102.486,101.943,101.717,100.726,97.874,97.361,98.000,99.256,99.987,99.711,100.137,101.120,100.353,99.502,99.589,99.351,101.319,100.591,101.350,100.088,97.972,99.598,98.470,99.170,99.736,99.472,100.326,101.241,101.994,100.838,101.772,101.829,102.703,102.350,103.666,103.534,104.901,105.198,105.545,106.572,107.683,108.793,109.793,110.324,109.595,111.096,111.310,112.688,113.534,112.964,103.280,111.867,114.581,115.310,116.431,116.899,119.129
