"SQGDP8 Chain-type quantity indexes for real GDP by state (2012=100.0)"
"Chain-type quantity indexes for real GDP by state: Private industries (Quantity index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4"
"45000","South Carolina",94.616,95.097,95.537,95.894,97.390,97.395,97.332,98.408,98.752,100.470,101.764,102.508,100.364,100.654,99.101,95.402,93.823,93.176,93.739,95.037,95.043,96.147,97.334,98.099,98.307,99.700,99.013,99.716,100.958,100.260,99.788,98.994,101.496,100.780,103.016,103.736,103.733,106.091,106.581,106.568,107.982,108.992,110.613,111.144,111.719,112.875,113.577,114.591,115.542,115.884,116.033,116.962,118.456,119.460,119.938,120.890,122.068,121.637,122.892,123.612,121.529,110.957,122.408,123.681,125.583,126.989,127.391,129.853
"46000","South Dakota",79.535,79.159,79.843,79.988,80.812,81.379,81.031,80.375,84.802,85.319,84.047,84.640,90.136,88.885,87.766,84.886,88.758,89.714,91.230,90.443,88.471,88.979,91.684,92.799,94.601,96.242,97.032,101.895,101.606,101.671,95.928,100.795,100.876,101.393,101.621,101.681,104.041,104.112,102.662,101.248,103.482,103.893,104.834,108.169,104.156,105.109,107.196,106.740,107.335,105.628,103.813,102.205,107.394,105.711,105.247,105.018,106.484,105.725,106.270,106.583,108.486,100.006,106.896,109.649,111.954,112.322,111.869,112.054
"47000","Tennessee",91.988,92.558,93.725,94.076,94.972,95.837,95.457,96.406,94.448,95.486,96.405,97.767,96.838,96.780,95.985,92.655,91.554,90.903,90.863,92.124,92.734,93.234,93.811,94.760,94.933,96.175,96.973,98.316,99.310,100.639,99.814,100.237,101.759,100.776,101.570,101.900,101.810,102.987,103.730,104.238,105.798,107.469,108.024,108.253,108.511,108.810,109.813,111.098,111.961,112.123,112.642,114.103,113.793,114.366,114.871,114.606,116.031,116.632,117.776,118.043,117.272,101.805,114.316,116.936,121.080,122.048,122.891,126.151
"48000","Texas",79.119,78.886,79.136,80.081,84.007,85.424,86.437,88.085,88.677,90.500,90.692,91.083,89.549,89.057,89.114,90.675,89.471,88.249,88.540,89.331,90.105,90.721,91.643,92.583,93.046,94.463,94.865,96.956,98.450,99.500,99.968,102.082,103.192,104.525,105.895,106.467,105.216,107.588,109.881,111.476,114.505,113.186,114.557,115.269,114.887,114.785,115.340,115.444,116.658,117.757,118.903,120.199,121.862,123.336,123.853,125.102,125.781,126.721,129.129,130.024,127.295,116.315,124.426,126.326,127.487,130.416,131.546,135.117
"49000","Utah",81.050,82.394,84.009,85.921,88.413,89.489,91.077,92.934,92.910,95.588,95.790,96.395,94.843,96.567,95.886,93.181,93.508,92.530,92.555,92.612,93.564,93.381,95.310,97.374,97.216,98.328,98.481,98.954,100.232,99.826,99.293,100.650,102.351,102.959,104.268,104.327,105.580,106.492,107.016,107.996,109.604,110.619,111.139,112.691,113.986,114.859,116.627,118.162,117.949,119.584,122.156,124.491,126.630,128.714,129.957,130.982,134.814,133.821,136.582,137.655,135.263,128.931,137.462,141.407,143.096,144.832,145.702,148.301
"50000","Vermont",90.670,90.705,91.210,91.546,92.438,91.860,91.288,90.297,89.562,90.346,91.123,91.735,94.036,94.510,94.339,92.527,91.452,90.798,92.234,93.626,94.440,96.608,98.115,98.093,96.964,98.124,98.388,101.299,100.133,101.700,100.383,97.784,98.449,97.612,96.674,97.499,96.851,97.920,99.945,100.581,99.399,99.080,100.261,99.703,100.412,100.725,100.922,101.171,101.079,100.996,100.973,101.211,101.655,102.003,101.265,101.251,102.875,101.636,102.941,103.071,102.539,89.446,98.812,99.713,100.800,100.909,100.988,103.264
"51000","Virginia",90.598,92.123,93.459,93.353,94.653,94.314,94.290,93.902,94.345,94.613,95.759,96.239,95.886,97.062,97.282,95.636,94.262,94.942,95.272,96.703,96.771,98.684,99.648,100.101,98.878,99.537,99.643,100.425,100.093,100.017,100.266,99.624,101.314,100.749,101.103,101.108,99.835,100.574,100.941,101.324,101.552,102.666,103.124,103.010,102.172,103.046,103.799,104.784,104.176,104.756,105.544,106.593,107.716,108.606,109.150,109.398,110.387,110.609,111.788,112.063,110.185,100.883,108.377,110.289,110.826,111.925,112.410,114.344
"53000","Washington",82.914,84.089,83.960,85.589,86.654,86.823,87.340,88.712,89.526,92.444,94.302,96.100,94.486,95.404,96.189,92.995,90.851,91.028,91.073,92.537,92.197,94.405,95.190,95.980,95.622,96.163,96.308,98.191,99.677,99.998,100.774,99.551,102.387,102.292,104.142,104.044,104.980,106.008,108.556,108.872,110.571,112.011,113.240,113.078,115.632,114.996,116.169,118.602,120.382,121.657,123.915,126.454,130.203,131.472,133.914,134.131,136.595,137.038,138.604,140.205,138.745,129.380,140.936,140.369,143.160,147.222,147.884,151.203
"54000","West Virginia",91.741,93.423,92.607,92.559,94.229,94.864,94.844,95.069,94.502,95.023,95.746,95.727,95.729,97.036,97.589,99.264,98.587,96.392,95.212,96.007,94.606,97.336,100.738,100.345,97.848,100.589,100.933,101.966,101.056,101.411,99.460,98.073,100.532,100.494,100.834,101.604,99.559,101.601,102.177,102.589,102.092,101.865,101.874,101.702,101.775,100.921,101.275,100.544,103.383,103.009,103.868,104.074,104.567,106.574,107.348,107.593,105.407,105.716,105.732,104.692,103.199,93.058,100.998,103.049,103.539,104.590,103.730,104.394
"55000","Wisconsin",93.894,94.757,95.753,95.358,96.465,96.908,96.633,97.152,96.745,97.321,97.863,97.602,96.742,97.081,96.096,93.405,91.537,91.757,92.706,93.853,94.161,95.107,96.137,97.510,96.808,97.933,98.642,99.804,100.363,100.694,99.770,99.174,100.534,100.154,101.237,101.768,101.419,103.526,104.368,104.296,105.353,105.549,106.207,106.176,106.563,106.871,107.155,107.338,106.432,106.995,107.335,108.146,109.226,109.954,110.463,110.965,111.258,111.882,112.116,112.648,109.734,100.281,108.743,110.040,110.865,111.255,111.109,113.029
"56000","Wyoming",86.131,88.289,85.399,86.264,93.442,97.692,101.531,103.981,105.328,106.435,106.697,108.211,109.001,109.448,111.158,120.922,119.040,109.466,104.943,100.588,101.785,103.880,105.357,104.720,102.394,102.772,102.729,104.521,102.042,101.984,98.421,97.553,100.260,98.540,99.149,100.298,99.252,100.913,102.538,104.264,106.491,103.256,104.712,103.832,102.853,98.188,96.066,94.309,94.306,96.205,95.503,95.545,96.825,97.334,97.119,98.197,98.213,98.625,100.222,101.090,98.359,87.920,91.965,91.588,92.622,93.664,93.227,94.588
"91000","New England",90.999,91.388,91.991,92.682,94.113,94.237,94.118,95.492,95.943,96.459,97.001,97.454,99.277,99.228,97.109,93.928,94.393,94.066,94.831,95.516,96.366,97.682,98.750,98.359,96.506,98.713,97.605,99.261,99.499,100.308,100.288,99.905,99.500,99.131,99.868,100.072,98.770,100.020,101.366,102.951,103.240,104.303,103.954,104.856,104.801,105.240,106.036,105.907,105.811,106.844,107.929,108.366,109.468,110.174,110.857,110.800,112.226,112.785,113.307,113.391,112.066,100.617,108.911,111.019,112.073,114.639,115.474,117.875
"Legend / Footnotes:"
"Last updated: March 31, 2022-- new statistics for 2021Q4."
