STATE,Benefits
09/30/2017,"3,962,347"
10/31/2017,"4,552,804"
11/30/2017,"4,879,876"
12/31/2017,"5,146,000"
01/31/2018,"11,320,920"
02/28/2018,"10,915,115"
03/31/2018,"10,923,294"
04/30/2018,"10,090,261"
05/31/2018,"6,289,761"
06/30/2018,"4,928,683"
07/31/2018,"5,668,446"
08/31/2018,"4,634,964"
09/30/2018,"3,737,397"
10/31/2018,"4,380,992"
11/30/2018,"4,558,258"
12/31/2018,"8,171,159"
01/31/2019,"10,263,239"
02/28/2019,"11,027,116"
03/31/2019,"10,915,175"
04/30/2019,"10,705,509"
05/31/2019,"6,388,159"
06/30/2019,"4,794,382"
07/31/2019,"5,563,527"
08/31/2019,"4,335,521"
09/30/2019,"4,061,614"
10/31/2019,"3,765,749"
11/30/2019,"4,416,005"
12/31/2019,"8,296,346"
01/31/2020,"10,598,036"
02/29/2020,"11,261,830"
03/31/2020,"22,966,053"
04/30/2020,"86,870,602"
05/31/2020,"130,809,248"
06/30/2020,"93,879,586"
07/31/2020,"71,115,306"
08/31/2020,"58,112,440"
09/30/2020,"30,910,203"
10/31/2020,"16,455,199"
11/30/2020,"14,667,753"
12/31/2020,"16,678,967"
01/31/2021,"19,484,410"
02/28/2021,"20,340,960"
03/31/2021,"22,143,584"
04/30/2021,"16,692,261"
05/31/2021,"13,314,450"
06/30/2021,"13,679,104"
07/31/2021,"10,415,262"
08/31/2021,"10,757,690"
09/30/2021,"6,526,403"
10/31/2021,"4,970,738"
11/30/2021,"6,215,032"
12/31/2021,"7,350,925"
01/31/2022,"11,773,921"
