y,z
-0.567,0.010432
7.102375,0.0027281
4.965063,0.0031027
4.310438,-0.1203296
1.354156,0.0550762
-2.364094,-0.0893337
-3.565406,-0.0858414
-1.859969,0.0477055
-3.210156,0.2647744
-0.9032187,-0.0500131
-1.555281,0.1148324
1.619375,-0.0804495
1.086187,0.2086942
1.98525,0.154273
6.088281,0.0086328
5.518594,-0.0911344
3.496562,-0.1025224
4.20525,-0.0730973
0.8940312,-0.0351877
2.10925,-0.0594243
2.335906,-0.172635
0.331875,0.4065895
0.0414375,-0.0038804
-0.10275,0.0141609
-0.7964375,0.0979459
1.84425,0.1407458
8.8285,-0.1024101
8.275125,-0.0636296
2.988531,-0.191166
4.682281,-0.132584
5.639187,0.0013393
-0.3871875,-0.0276628
1.482531,0.1611222
2.809062,-0.0962592
0.8022187,-0.0005416
0.1059062,-0.0305088
-1.132031,0.1401505
-0.1770312,0.1072488
2.254156,0.0669371
3.383687,-0.1382263
2.448156,-0.2232143
3.8625,-0.0951704
-0.8105313,0.0748334
1.668156,0.1542021
-0.6869063,0.0559683
-2.152313,-0.1384456
-1.310187,0.0171013
-2.416312,-0.0881765
-4.316969,0.1502652
-2.400094,0.1281385
2.542094,-0.008258
1.245312,0.0017982
3.197,-0.0865786
2.265156,-0.0753142
0.6529062,0.0433248
2.333094,0.0848898
-1.170781,0.000291
-1.09575,-0.1102871
-1.603844,0.0767671
-6.405125,-0.163823
-6.601438,0.2613249
-3.139,0.0976475
1.602906,-0.094534
0.7405937,0.0211622
3.539687,0.0359987
3.689312,-0.1589423
-0.7639062,0.032198
3.476094,-0.0125095
0.4392188,0.0097595
1.190125,-0.1489745
3.069625,0.1336157
0.948,-0.0665429
-2.790812,0.1136432
1.113125,0.0820609
1.51375,0.0136774
0.1993125,0.0040126
2.496875,-0.1149292
1.471594,0.022171
-0.25875,0.0716484
1.937406,-0.0193342
1.328688,-0.1265558
-0.1515625,-0.043775
0.7020313,-0.0993241
-2.026281,-0.0887847
-3.081906,-0.0165789
-0.9594063,-0.0067091
2.511906,0.0024769
-1.851094,0.0331966
0.7296563,-0.0647206
0.372125,0.0524012
-1.031562,-0.0644933
0.419875,-0.0156093
-1.995719,0.02915
-4.634969,-0.1395008
-5.093,0.0651667
0.7496875,-0.0741128
-10.92869,-0.0085384
-9.960062,-0.1180591
-4.952031,-0.1338174
-5.446063,-0.0061159
-3.747656,0.0694985
-4.324812,0.0838512
-3.424406,0.1209772
-4.274938,-0.083768
-4.025813,0.0568177
-3.42,0.0303262
-2.622313,-0.0166884
-1.783844,0.0170799
-1.731562,0.1902554
-2.38825,0.1578387
-2.269281,0.0894103
-0.9757187,-0.0288539
-0.029875,0.0543983
-0.6413438,-0.0033133
-1.322656,0.0688461
-0.0079062,0.0007563
-0.6613125,0.0340786
-0.8509375,-0.0376592
-0.8244063,0.1879703
