BhutanB1/B2,,1
BhutanF1,,1
BhutanG1,,2
BhutanJ1,,1
BhutanJ2,,1
BoliviaB1/B2,,59
BoliviaC1/D,,1
BoliviaC3,,2
BoliviaF1,,4
BoliviaG4,,18
BoliviaH1B,,1
BoliviaJ1,,1
BoliviaO1,,1
Bosnia-HerzegovinaA1,,2
Bosnia-HerzegovinaA2,,3
Bosnia-HerzegovinaB1,,4
Bosnia-HerzegovinaB1/B2,,22
Bosnia-HerzegovinaC1/D,,35
Bosnia-HerzegovinaG4,,5
Bosnia-HerzegovinaJ1,,1
Bosnia-HerzegovinaK1,,8
Bosnia-HerzegovinaK2,,1
Bosnia-HerzegovinaL1,,2
BotswanaC1,,2
BotswanaF1,,5
BotswanaG1,,1
BotswanaH2A,,1
BotswanaM1,,1
BotswanaP1,,1
BrazilA1,,14
BrazilA2,,106
BrazilB1,,2
BrazilB1/B2,,116
BrazilC1,,4
BrazilC1/D,,105
BrazilC3,,13
BrazilE2,,3
BrazilF1,,87
BrazilF2,,19
BrazilG1,,2
BrazilG2,,1
BrazilG4,,33
BrazilH1B,,22
BrazilH2A,,1
BrazilH2B,,1
BrazilH4,,12
BrazilJ1,,192
BrazilJ2,,20
BrazilK1,,3
BrazilK2,,2
BrazilL1,,33
BrazilL2,,59
BrazilO1,,16
BrazilO3,,3
BrazilP1,,20
BrazilP4,,3
BrazilR1,,1
British National Overseas (Hong Kong) PassportB1/B2,,100
British National Overseas (Hong Kong) PassportF1,,1
British National Overseas (Hong Kong) PassportH1B,,1
British National Overseas (Hong Kong) PassportL1,,1
BulgariaB1,,1
BulgariaB1/B2,,79
BulgariaC1/D,,41
BulgariaF1,,2
BulgariaF2,,1
BulgariaG4,,7
BulgariaH2B,,21
BulgariaJ1,,2
BulgariaK1,,1
BulgariaL1,,2
BulgariaNATO2,,2
Burkina FasoA2,,3
Burkina FasoB1/B2,,9
Burkina FasoF1,,4
Burkina FasoJ1,,1
Burkina FasoK1,,1
BurmaA1,,2
BurmaB1/B2,,7
BurmaC1,,1
BurmaD,,33
BurmaF1,,5
BurmaG1,,6
BurmaG4,,1
BurmaK1,,6
BurmaK2,,3
BurundiB1/B2,,1
BurundiF1,,2
BurundiG1,,1
BurundiG4,,7
BurundiK1,,3
Cabo VerdeB1/B2,,1
Cabo VerdeC1/D,,2
Cabo VerdeG4,,1
Cabo VerdeM1,,1
CambodiaA2,,2
CambodiaB1/B2,,21
CambodiaC1,,2
CambodiaD,,2
CambodiaF1,,4
Page 8 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
CambodiaG1,,3
CambodiaJ1,,1
CambodiaK1,,5
CambodiaK2,,1
CambodiaM1,,1
CambodiaR1,,3
CameroonA1,,4
CameroonA2,,4
CameroonB1/B2,,10
CameroonC1/D,,1
CameroonF1,,11
CameroonG1,,3
CameroonG4,,2
CameroonH1B,,3
CameroonJ1,,3
CameroonJ2,,2
CameroonK1,,9
CameroonK2,,2
CameroonP1,,3
CanadaA1,,1
CanadaA2,,6
CanadaB1/B2,,1
CanadaC1/D,,1
CanadaE1,,20
CanadaE2,,100
CanadaF1,,2
CanadaF2,,3
CanadaG1,,2
CanadaG4,,18
CanadaH2A,,3
CanadaH4,,5
CanadaJ1,,2
CanadaK1,,4
CanadaL1,,2
CanadaL2,,4
CanadaM1,,1
CanadaNATO2,,7
CanadaO3,,1
CanadaP1,,2
CanadaP4,,1
CanadaTD,,1
CanadaTN,,1
Cayman IslandsB1/B2,,13
Cayman IslandsF1,,3
Central African RepublicA1,,1
ChadA2,,2
ChadB1/B2,,4
ChadC1,,1
ChileA1,,7
ChileA2,,3
ChileB1,,14
ChileB1/B2,,76
ChileC1/D,,37
ChileC3,,21
ChileE2,,15
ChileF1,,33
ChileF2,,13
ChileG1,,6
ChileG4,,2
ChileH1B,,5
ChileH1B1,,95
ChileH2A,,4
ChileH4,,64
ChileI,,4
ChileJ1,,20
ChileJ2,,8
ChileK1,,6
ChileL1,,10
ChileL2,,18
ChileM1,,2
ChileO1,,3
ChileO3,,2
ChileP1,,2
ChileR1,,3
ChileR2,,1
ChileTD,,1
China - mainlandA1,,7
China - mainlandA2,,8
China - mainlandA3,,2
China - mainlandB1,,9
China - mainlandB1/B2,,82
China - mainlandB2,,1
China - mainlandC1,,5
China - mainlandC1/D,,59
