"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100.0083,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",99.66666,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",101.65,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",103.6833,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",103.8083,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",102.475,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",109.9583,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",124.5917,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",90.15833,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",89.00833,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",91.4,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",92.15833,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",92.24167,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",93.56667,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",95.03333,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",95.33334,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",94.13333,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",96.275,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",98.65833,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",101.75,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",101.025,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",99.55,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100.0083,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",100.0333,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",101.0917,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",102.1333,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",101.7167,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",99.675,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","BEL","Belgium","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",104.5,,
