state,date,PUAPEUC,,,,,
MT,2020-04-25,7867,,,,,
NE,2020-04-25,0,,,,,
NV,2020-04-25,0,,,,,
NH,2020-04-25,0,,,,,
NJ,2020-04-25,0,,,,,
NM,2020-04-25,0,,,,,
NY,2020-04-25,957,,,,,
NC,2020-04-25,54609,,,,,
ND,2020-04-25,0,,,,,
OH,2020-04-25,0,,,,,
OK,2020-04-25,93,,,,,
OR,2020-04-25,0,,,,,
PA,2020-04-25,63788,,,,,
PR,2020-04-25,0,,,,,
RI,2020-04-25,7154,,,,,
SC,2020-04-25,0,,,,,
SD,2020-04-25,0,,,,,
TN,2020-04-25,0,,,,,
TX,2020-04-25,33817,,,,,
UT,2020-04-25,0,,,,,
VT,2020-04-25,0,,,,,
VI,2020-04-25,0,,,,,
VA,2020-04-25,0,,,,,
WA,2020-04-25,190009,,,,,
WV,2020-04-25,0,,,,,
WI,2020-04-25,42849,,,,,
WY,2020-04-25,0,,,,,
AL,2020-05-02,18028,,,,,
AK,2020-05-02,1382,,,,,
AZ,2020-05-02,0,,,,,
AR,2020-05-02,3746,,,,,
CA,2020-05-02,297738,,,,,
CO,2020-05-02,13149,,,,,
CT,2020-05-02,0,,,,,
DE,2020-05-02,0,,,,,
DC,2020-05-02,0,,,,,
FL,2020-05-02,0,,,,,
GA,2020-05-02,0,,,,,
HI,2020-05-02,0,,,,,
ID,2020-05-02,2786,,,,,
IL,2020-05-02,0,,,,,
IN,2020-05-02,0,,,,,
IA,2020-05-02,4509,,,,,
KS,2020-05-02,0,,,,,
KY,2020-05-02,0,,,,,
LA,2020-05-02,20245,,,,,
ME,2020-05-02,10498,,,,,
MD,2020-05-02,44280,,,,,
MA,2020-05-02,68826,,,,,
MI,2020-05-02,86009,,,,,
MN,2020-05-02,8996,,,,,
MS,2020-05-02,11024,,,,,
MO,2020-05-02,17784,,,,,
MT,2020-05-02,3524,,,,,
NE,2020-05-02,1633,,,,,
NV,2020-05-02,0,,,,,
NH,2020-05-02,0,,,,,
NJ,2020-05-02,76100,,,,,
NM,2020-05-02,17850,,,,,
NY,2020-05-02,38700,,,,,
NC,2020-05-02,89951,,,,,
ND,2020-05-02,5827,,,,,
OH,2020-05-02,0,,,,,
OK,2020-05-02,1990,,,,,
OR,2020-05-02,3792,,,,,
PA,2020-05-02,43889,,,,,
PR,2020-05-02,0,,,,,
RI,2020-05-02,5815,,,,,
SC,2020-05-02,0,,,,,
SD,2020-05-02,99,,,,,
TN,2020-05-02,10617,,,,,
TX,2020-05-02,54185,,,,,
UT,2020-05-02,0,,,,,
VT,2020-05-02,0,,,,,
VI,2020-05-02,0,,,,,
VA,2020-05-02,0,,,,,
WA,2020-05-02,66652,,,,,
WV,2020-05-02,0,,,,,
WI,2020-05-02,18652,,,,,
WY,2020-05-02,572,,,,,
AL,2020-05-09,14421,,,,,
AK,2020-05-09,3078,,,,,
AZ,2020-05-09,0,,,,,
AR,2020-05-09,15771,,,,,
CA,2020-05-09,136659,,,,,
CO,2020-05-09,9125,,,,,
CT,2020-05-09,11750,,,,,
DE,2020-05-09,0,,,,,
DC,2020-05-09,0,,,,,
FL,2020-05-09,0,,,,,
GA,2020-05-09,0,,,,,
HI,2020-05-09,0,,,,,
ID,2020-05-09,1775,,,,,
IL,2020-05-09,0,,,,,
IN,2020-05-09,68834,,,,,
IA,2020-05-09,3910,,,,,
KS,2020-05-09,0,,,,,
KY,2020-05-09,0,,,,,
LA,2020-05-09,17556,,,,,
ME,2020-05-09,11488,,,,,
MD,2020-05-09,18982,,,,,
MA,2020-05-09,70464,,,,,
MI,2020-05-09,138051,,,,,
MN,2020-05-09,5142,,,,,
MS,2020-05-09,9248,,,,,
MO,2020-05-09,7082,,,,,
MT,2020-05-09,2163,,,,,
NE,2020-05-09,1784,,,,,
NV,2020-05-09,0,,,,,
NH,2020-05-09,0,,,,,
NJ,2020-05-09,51241,,,,,
NM,2020-05-09,4714,,,,,
NY,2020-05-09,53042,,,,,
NC,2020-05-09,52351,,,,,
ND,2020-05-09,526,,,,,
OH,2020-05-09,0,,,,,
OK,2020-05-09,6257,,,,,
OR,2020-05-09,4797,,,,,
PA,2020-05-09,51591,,,,,
PR,2020-05-09,0,,,,,
RI,2020-05-09,4954,,,,,
SC,2020-05-09,0,,,,,
SD,2020-05-09,693,,,,,
TN,2020-05-09,5741,,,,,
TX,2020-05-09,44470,,,,,
UT,2020-05-09,0,,,,,
VT,2020-05-09,0,,,,,
VI,2020-05-09,0,,,,,
VA,2020-05-09,0,,,,,
WA,2020-05-09,48665,,,,,
WV,2020-05-09,0,,,,,
WI,2020-05-09,11194,,,,,
WY,2020-05-09,1709,,,,,
AL,2020-05-16,9111,,,,,
AK,2020-05-16,1872,,,,,
AZ,2020-05-16,0,,,,,
AR,2020-05-16,8235,,,,,
CA,2020-05-16,112791,,,,,
CO,2020-05-16,7633,,,,,
CT,2020-05-16,7450,,,,,
DE,2020-05-16,21,,,,,
DC,2020-05-16,0,,,,,
FL,2020-05-16,0,,,,,
GA,2020-05-16,0,,,,,
HI,2020-05-16,0,,,,,
ID,2020-05-16,1640,,,,,
IL,2020-05-16,74515,,,,,
IN,2020-05-16,0,,,,,
IA,2020-05-16,4552,,,,,
KS,2020-05-16,0,,,,,
KY,2020-05-16,0,,,,,
LA,2020-05-16,3396,,,,,
ME,2020-05-16,7043,,,,,
MD,2020-05-16,15448,,,,,
MA,2020-05-16,115952,,,,,
MI,2020-05-16,165230,,,,,
MN,2020-05-16,3377,,,,,
MS,2020-05-16,11584,,,,,
MO,2020-05-16,7787,,,,,
MT,2020-05-16,2466,,,,,
NE,2020-05-16,1700,,,,,
NV,2020-05-16,27399,,,,,
NH,2020-05-16,0,,,,,
NJ,2020-05-16,103220,,,,,
NM,2020-05-16,3253,,,,,
NY,2020-05-16,177684,,,,,
NC,2020-05-16,42002,,,,,
ND,2020-05-16,638,,,,,
OH,2020-05-16,134468,,,,,
OK,2020-05-16,2070,,,,,
OR,2020-05-16,2919,,,,,
PA,2020-05-16,60750,,,,,
PR,2020-05-16,1022,,,,,
RI,2020-05-16,3768,,,,,
SC,2020-05-16,19706,,,,,
SD,2020-05-16,901,,,,,
TN,2020-05-16,3390,,,,,
TX,2020-05-16,40513,,,,,
UT,2020-05-16,2600,,,,,
VT,2020-05-16,0,,,,,
VI,2020-05-16,0,,,,,
