month,FW,DW,prod,u,v,partfull,a_alter,lambda_alter
671,389714.4386,3244396.561,100.1,1.813526047,1.274121787,0.036230162,1.838567,0.0313517
672,384951.4064,3243040.594,99,2.004880532,1.185945283,0.033904897,1.427258,0.0277866
673,381081.0011,3233543.999,100.8,2.056740032,1.336210534,0.031614921,1.701945,0.0304758
674,378966.0243,3235267.976,101,2.15943115,1.464349016,0.031673237,1.496112,0.0287953
675,381641.1134,3232143.887,100,2.11658336,1.456091051,0.032019115,1.468304,0.0279783
676,382905.7581,3231086.242,103.6,2.157516814,1.457889226,0.032396166,1.431877,0.0273548
677,386081.7931,3228781.207,103.8,2.178573379,1.371310614,0.033830349,1.461699,0.0265459
678,388365.1357,3229391.864,102.8,2.24586951,1.295996387,0.034032278,1.401348,0.0257631
679,389170.3968,3231245.603,101,2.283691372,1.339321227,0.032841801,1.413093,0.0251618
680,391888.3802,3236225.62,101.4,2.167849043,1.424211036,0.031654431,1.550568,0.0273754
681,391433.5394,3244012.461,100.6,1.964938715,1.424501973,0.031989084,1.509866,0.0248037
682,391450.0997,3251332.9,105.3,1.972646422,1.314214983,0.031469073,1.524767,0.0257583
683,391328.8307,3254800.169,104.3,1.87754999,1.390982052,0.032427977,1.519726,0.0276913
684,377847.5756,3262267.424,106.7,1.961334731,1.227159032,0.030995124,1.71681,0.0309178
685,372747.5712,3260815.429,104.8,2.033289188,1.488483893,0.030558868,1.754482,0.0322693
686,370683.0079,3263252.992,106.4,2.056788655,1.586131401,0.029733847,1.574477,0.0297937
687,372940.3024,3262155.698,104.4,1.977335814,1.491597471,0.0301019,1.574225,0.0297083
688,374019.4487,3256167.551,105.4,2.00828639,1.512759536,0.030569916,1.407915,0.0265511
689,377690.7009,3250635.299,104.2,2.028564346,1.548758298,0.029696387,1.475893,0.0274568
690,381393.6583,3247288.342,104.4,2.065424379,1.389815917,0.029595118,1.551461,0.0280621
691,380592.8594,3249259.141,104.9,2.115587264,1.4220139,0.029824438,1.637051,0.0251932
692,384027.7148,3266546.285,105.3,2.11008625,1.409504368,0.030513477,1.373019,0.0256766
693,384444.4598,3265475.54,105.7,1.801274424,1.419263984,0.029823101,1.773472,0.0269049
694,385633.3553,3274398.645,105.2,1.910123372,1.27028944,0.028880281,1.64743,0.0259006
695,388735.0786,3277751.921,102.7,1.80685255,1.403905155,0.031294372,2.068383,0.0331225
696,389347.8561,3327371.144,105,2.007214666,1.337362335,0.030971763,1.642111,0.0320419
697,386601.9631,3319242.037,105.9,2.028877877,1.451005493,0.028476049,2.055298,0.0369046
698,387721.5148,3319293.485,104.4,2.126641552,1.533066362,0.02739396,1.836563,0.0357148
699,389217.2971,3316244.703,107.1,2.187026156,1.546743699,0.027527974,1.746136,0.0341498
700,389386.7247,3317385.275,108.1,2.260188486,1.550756291,0.028455768,1.758294,0.0350506
701,391862.1624,3315547.838,108.4,2.226259944,1.435827168,0.028316813,1.752075,0.0336405
702,393353.1491,3315567.851,107.8,2.320105417,1.457998162,0.02831361,1.646436,0.0313765
703,393200.5895,3321971.411,108.9,2.310699861,1.529646541,0.028406389,1.563461,0.0334461
704,395391.9966,3313245.003,106.2,2.128684776,1.510312279,0.027356175,1.86293,0.0314016
705,397194.4929,3328605.507,107.5,2.115389936,1.383756509,0.029190442,1.816348,0.0316545
706,397796.0289,3334344.971,105.5,2.026953116,1.339981528,0.029235551,1.846628,0.0338955
707,399504.0198,3329002.98,103.6,1.949437352,1.240657454,0.028097753,2.197018,0.0353723
708,392554.5297,3342059.47,105.2,2.214316162,1.151872724,0.027637392,1.661209,0.0308498
709,390411.3926,3340164.607,101.9,2.130777266,1.135293853,0.026075335,1.936238,0.0338767
710,390074.5026,3340881.497,103.9,2.271801441,1.128584738,0.02639559,1.950584,0.0342464
711,392894.3216,3343948.678,105.9,2.359891801,1.131061701,0.02702948,1.658349,0.0319328
712,391117.5643,3341473.436,105.7,2.366206841,1.164258286,0.026728945,1.675767,0.0328293
713,391818.0177,3337021.982,106.3,2.306148945,1.099537658,0.026723617,1.669251,0.0311871
714,392239.6549,3334260.345,108.6,2.443497971,1.151938817,0.027417763,1.529264,0.0289643
715,391567.645,3338642.355,106.5,2.373461223,1.087445479,0.02763241,1.60983,0.0300155
716,392926.3056,3336934.694,108.1,2.282731692,1.071836189,0.027160182,1.732607,0.0289411
717,392730.7995,3345463.2,107.1,2.178668353,1.100986198,0.028776322,1.691977,0.0305871
718,390967.0004,3344607,107.5,2.161477112,0.961485437,0.029022006,1.734186,0.0298376
719,389802.9631,3342815.037,110.6,2.148009437,1.026652071,0.029145696,1.75197,0.0296795
720,371706.2316,3358218.768,108.5,1.66512517,0.95253926,0.028314123,2.065856,0.031864
721,364893.0938,3354806.906,105.4,1.738178079,0.94400086,0.026359618,2.104221,0.0333528
722,357922.1274,3350450.873,109.8,1.847287476,0.825941727,0.026747089,1.796773,0.0356427
723,354853.6728,3315729.327,103.7,1.958800005,0.692124385,0.026848949,1.876855,0.0314091
724,350438.9176,3302431.082,95.9,2.105220005,0.686008536,0.027963645,2.046637,0.0337263
725,347118.7337,3293615.266,103.4,2.303622017,0.755506994,0.027157719,2.068957,0.0329211
726,342812.6228,3300685.377,105.8,2.430554648,0.839358221,0.029338799,1.753569,0.0307812
727,339109.3224,3303784.678,106.2,2.402612868,0.960335382,0.031210777,1.82334,0.0312109
728,334281.2022,3314154.798,109.8,2.417612369,0.876567384,0.032563263,1.782688,0.0312911
729,329401.8341,3318396.166,109.1,2.281182237,0.933385017,0.033009905,1.779908,0.0298289
730,324781.7899,3326104.21,109.6,2.13349061,0.963711274,0.033484959,1.827732,0.0313716
731,320621.9408,3326914.059,111.4,2.051629374,0.947022867,0.033547621,2.236002,0.035496
732,317114.1542,3331355.846,111.9,2.082461964,0.964102761,0.03592951,1.84201,0.0309015
733,313883.756,3330912.244,115.8,2.080706575,1.154358159,0.035723237,2.143436,0.0341184
734,310383.3239,3345851.676,115.1,2.12842227,1.312196836,0.037745432,2.007566,0.0363836
735,307358.3211,3350442.679,113.2,2.066333297,1.40160714,0.038252525,1.776292,0.0322074
736,305977.8385,3353019.162,112.8,1.991965558,1.372753244,0.039073837,1.962977,0.035089
737,305809.7051,3353577.295,114.5,2.004613614,1.427151597,0.040229274,1.850186,0.0324264
738,305124.7276,3357440.272,114.6,1.997215066,1.423838212,0.04151159,1.761117,0.0312381
739,303879.8244,3360525.176,116,1.953884464,1.492684351,0.04171116,1.741269,0.028564
740,303931.2882,3370603.712,112.9,1.885918626,1.493440667,0.042754493,1.888705,0.0334116
741,303352.2459,3370054.754,113.3,1.767663371,1.527519276,0.042573538,1.990448,0.0311134
742,302616.6991,3380749.301,115.3,1.614131205,1.48986009,0.044034747,2.127724,0.0353577
743,301890.2709,3373868.729,119.6,1.552273694,1.677830347,0.043508856,2.511991,0.0390986
