u,v,numd,matched,exit
2.148009436,1.026652071,3732618 ,110915 ,113923 
1.66512517,0.95253926,3729925 ,113794 ,113214 
1.738178079,0.94400086,3719700 ,109449 ,120863 
1.847287476,0.825941727,3708373 ,114257 ,126257 
1.958800005,0.692124385,3670583 ,97343 ,134664 
2.105220005,0.686008536,3652870 ,99215 ,117593 
2.303622017,0.755506994,3640734 ,112974 ,125847 
2.430554648,0.839358221,3643498 ,125060 ,122683 
2.402612868,0.960335382,3642894 ,113902 ,114945 
2.417612369,0.876567384,3648436 ,122529 ,116497 
2.281182237,0.933385017,3647798 ,117099 ,116992 
2.13349061,0.963711274,3650886 ,114416 ,111350 
2.051629374,0.947022867,3647536 ,113282 ,117031 
2.082461964,0.964102761,3648470 ,133945 ,132185 
2.080706575,1.154358159,3644796 ,112170 ,115141 
2.12842227,1.312196836,3656235 ,137915 ,126997 
2.066333297,1.40160714,3657801 ,137090 ,135920 
1.991965558,1.372753244,3658997 ,121327 ,120294 
2.004613614,1.427151597,3659387 ,129843 ,131000 
1.997215066,1.423838212,3662565 ,124456 ,121088 
1.953884464,1.492684351,3664405 ,118172 ,116743 
