y,z
311553.53,1.2401229
310986.53,1.1233732
318088.91,1.0562017
323053.97,1.0826111
327364.41,1.0143253
328718.56,1.1353166
326354.47,1.1106107
322789.06,1.0224795
320929.09,1.0549663
317718.94,1.2251109
316815.72,1.2649297
315260.44,1.3402661
316879.81,1.3207241
317966,1.3838769
319951.25,1.4370579
326039.53,1.4812757
331558.13,1.4496691
335054.69,1.4395975
339259.94,1.4485064
340153.97,1.4092736
342263.22,1.3183162
344599.13,1.0534708
344931,1.5582938
344972.44,1.5003521
344869.69,1.5923578
344073.25,1.5264868
345917.5,1.563193
354746,1.5085131
363021.13,1.4944997
366009.66,1.3978952
370691.94,1.3339845
376331.13,1.3264544
375943.94,1.2718916
377426.47,1.3497697
380235.53,1.3464578
381037.75,1.2972387
381143.66,1.3308725
380011.63,1.3393099
379834.59,1.3648523
382088.75,1.4571451
385472.44,1.3618039
387920.59,1.2249491
391783.09,1.1835077
390972.56,1.248588
392640.72,1.3851649
391953.81,1.3656107
389801.5,1.3153366
388491.31,1.2873709
386075,1.2617613
381758.03,1.2924043
379357.94,1.3447392
381900.03,1.3625523
383145.34,1.3900152
386342.34,1.394487
388607.5,1.3729851
389260.41,1.3964126
391593.5,1.4610715
390422.72,1.393874
389326.97,1.3732619
387723.13,1.4025798
381318,1.3080832
374716.56,1.4472259
371577.56,1.470083
373180.47,1.40588
373921.06,1.4453905
377460.75,1.5770911
381150.06,1.4643885
380386.16,1.4667751
383862.25,1.4305854
384301.47,1.389107
385491.59,1.3247107
388561.22,1.4131172
389509.22,1.431803
386718.41,1.4182718
387831.53,1.4323125
389345.28,1.4666723
389544.59,1.485979
392041.47,1.4624631
393513.06,1.5279526
393254.31,1.5631086
395191.72,1.5174525
396520.41,1.3567585
396368.84,1.3979114
397070.88,1.2437754
395044.59,1.2356747
391962.69,1.113086
391003.28,1.0645783
393515.19,1.0785402
391664.09,1.1217049
392393.75,1.1169853
392765.88,1.2015759
391734.31,1.1009995
392154.19,1.068581
390158.47,1.0823505
385523.5,1.0033789
380430.5,1.0252682
381180.19,1.0229725
370251.5,0.92771536
360291.44,0.78628629
355339.41,0.66270459
349893.34,0.66510069
346145.69,0.76468903
341820.88,0.87072957
338396.47,0.96319944
334121.53,0.87181348
330095.72,0.92087901
326675.72,1.0050749
324053.41,0.94280708
322269.56,1.0335724
320538,1.1377389
318149.75,1.2589886
315880.47,1.3442481
314904.75,1.3362495
314874.88,1.4434235
314233.53,1.4704591
312910.88,1.4876305
312902.97,1.4854994
312241.66,1.510215
311390.72,1.5502064
310566.31,1.6695009
