t,prod,L,Lfixed,vorig,vsim,vsimfixed,vsim_sticky,vsimfixed_sticky,worig,wsim,wsimfixed,wsim_sticky,wsimfixed_sticky,wsim_sticky_90,wsimfixed_sticky_90,uorig,usim,usimfixed,usim_sticky,usimfixed_sticky,f,vlong,ulong
739,0.9970787,0.9806509,1,0.0136878,0.014257169,0.006436042,0.014399878,0.006436042,0.824820373,0.865297413,0.735196964,0.801928773,0.790393537,0.794269473,0.713850797,0.083006,0.08035147,0.09059723,0.080489231,0.09059723,0.9337846,,
740,1.001421,0.9805102,1,0.0137344,0.014879777,0.007189577,0.015022136,0.007189576,0.825713451,0.878359228,0.748861851,0.802708995,0.78997822,0.802837631,0.717351903,0.0803485,0.079826287,0.090370715,0.079970023,0.090370714,0.93493,,
741,1.008124,0.9803364,1,0.0140648,0.015613292,0.008030193,0.015751901,0.008030192,0.825937627,0.893906345,0.76437774,0.803636237,0.789722215,0.812097188,0.722054487,0.0792368,0.079176363,0.090010358,0.079315879,0.090010358,0.9363818,,
742,1.016954,0.9801416,1,0.01379,0.016385347,0.008895927,0.016518954,0.008895927,0.827068304,0.909797318,0.780033206,0.804712312,0.789625325,0.822011841,0.72785236,0.0744093,0.078457418,0.089573778,0.078591397,0.089573778,0.9379816,,
743,1.026,0.979984,1,0.0155419,0.017085795,0.009703256,0.017213633,0.009703256,0.830758873,0.925660839,0.795572636,0.805935482,0.789684798,0.832513589,0.734624388,0.0736928,0.0777731,0.089144067,0.077899754,0.089144067,0.9394416,,
744,1.032691,0.9799351,1,0.0159787,0.017638593,0.01040848,0.017762991,0.01040848,0.830163608,0.940943465,0.810846191,0.807298794,0.789896412,0.843488898,0.742246569,0.0756026,0.077188248,0.088769347,0.077311222,0.088769347,0.9405906,,
745,1.035785,0.9800169,1,0.0166745,0.018035064,0.011014869,0.01815896,0.011014869,0.825789265,0.950893314,0.822433898,0.80874777,0.790221786,0.854359652,0.750265302,0.075395,0.076715055,0.088453014,0.076839034,0.088453013,0.9414578,,
746,1.035652,0.9801962,1,0.0174897,0.018282938,0.011521427,0.018406618,0.011521427,0.820701402,0.955168932,0.829947259,0.810224796,0.790619041,0.86456872,0.758233498,0.0749107,0.076362345,0.088202246,0.076488629,0.088202245,0.9420547,,
747,1.032514,0.9804564,1,0.0173589,0.01839332,0.011934586,0.018510787,0.011934586,0.816356078,0.954887451,0.834224492,0.811683597,0.791055096,0.873722339,0.765832598,0.0762124,0.076146628,0.088016591,0.07626356,0.088016591,0.942378,,
748,1.027618,0.980885,1,0.0177206,0.018364895,0.012293767,0.018478965,0.012293767,0.814445863,0.952889326,0.838031886,0.81310737,0.791524864,0.881756193,0.773052528,0.0750466,0.076038162,0.087862051,0.076154245,0.08786205,0.9424681,,
749,1.022006,0.9815779,1,0.0183695,0.018194448,0.012621983,0.018299855,0.012621983,0.812925235,0.949136059,0.841830339,0.814478653,0.792027918,0.888604143,0.779930309,0.0736582,0.076065285,0.087718757,0.07616876,0.087718756,0.9422624,,
750,1.015749,0.9826584,1,0.017714,0.017885986,0.012940543,0.01798682,0.012940542,0.812204461,0.944500475,0.846555227,0.815789568,0.792573191,0.894300741,0.786592801,0.0753278,0.076191294,0.087567248,0.076288497,0.087567248,0.9417161,,
751,1.009335,0.9841173,1,0.0168171,0.017552414,0.013238565,0.01765702,0.013238564,0.814592775,0.939567524,0.850974701,0.817038369,0.793157206,0.898937633,0.793030992,0.0788026,0.076296029,0.087419087,0.076403436,0.087419086,0.940988,,
752,1.002773,0.9857577,1,0.0169708,0.017493004,0.013305519,0.0175977,0.013305518,0.814592775,0.935903543,0.85404125,0.818238122,0.793766047,0.902745243,0.799132018,0.0762818,0.077200104,0.086404552,0.0773048,0.086404552,0.9402929,,
753,,,,,,,,,,,,,,,,,,,,,,0.009518,0.0729055
754,,,,,,,,,,,,,,,,,,,,,,0.009518,0.0729055
755,,,,,,,,,,,,,,,,,,,,,,0.009518,0.0729055
