ind,year,profit,profit_ml,year_month,month
0,2014,484485237,40312727.38,2014.01,1
0,2014,484485237,40059236.46,2014.02,2
0,2014,484485237,40652291.51,2014.03,3
0,2014,484485237,40417892.27,2014.04,4
0,2014,484485237,40033344.1,2014.05,5
0,2014,484485237,40092803.02,2014.06,6
0,2014,484485237,40209150.75,2014.07,7
0,2014,484485237,40265176.85,2014.08,8
0,2014,484485237,40458883.98,2014.09,9
0,2014,484485237,40308659.25,2014.1,10
0,2014,484485237,40672411.96,2014.11,11
0,2014,484485237,41002608.93,2014.12,12
0,2015,495774155,40995059.09,2015.01,1
0,2015,495774155,40371821.79,2015.02,2
0,2015,495774155,40636050.77,2015.03,3
0,2015,495774155,40531227.96,2015.04,4
0,2015,495774155,40686508.15,2015.05,5
0,2015,495774155,40718596.23,2015.06,6
0,2015,495774155,40711936.3,2015.07,7
0,2015,495774155,42676205.92,2015.08,8
0,2015,495774155,42494012.67,2015.09,9
0,2015,495774155,42667314.93,2015.1,10
0,2015,495774155,41561677.74,2015.11,11
0,2015,495774155,41723754.53,2015.12,12
0,2016,504295157,38514336.62,2016.01,1
0,2016,504295157,38295038.53,2016.02,2
0,2016,504295157,38899605.55,2016.03,3
0,2016,504295157,38622298.64,2016.04,4
0,2016,504295157,39865864.5,2016.05,5
0,2016,504295157,40346316.91,2016.06,6
0,2016,504295157,40997136.19,2016.07,7
0,2016,504295157,41420842.22,2016.08,8
0,2016,504295157,41636003.53,2016.09,9
0,2016,504295157,41922102.51,2016.1,10
0,2016,504295157,52121706.71,2016.11,11
0,2016,504295157,51653893.83,2016.12,12
0,2017,543340531,42917345.84,2017.01,1
0,2017,543340531,39258293.07,2017.02,2
0,2017,543340531,42275280.69,2017.03,3
0,2017,543340531,43190425.43,2017.04,4
0,2017,543340531,46636931.37,2017.05,5
0,2017,543340531,45119211.71,2017.06,6
0,2017,543340531,45269153.08,2017.07,7
0,2017,543340531,47599788.22,2017.08,8
0,2017,543340531,48794161.77,2017.09,9
0,2017,543340531,49527234.55,2017.1,10
0,2017,543340531,49984058,2017.11,11
0,2017,543340531,42768671.55,2017.12,12
0,2018,565244876,44837918.08,2018.01,1
0,2018,565244876,48333032.62,2018.02,2
0,2018,565244876,38333082.64,2018.03,3
0,2018,565244876,46731827.9,2018.04,4
0,2018,565244876,43919651.25,2018.05,5
0,2018,565244876,47243934.45,2018.06,6
0,2018,565244876,47658277.5,2018.07,7
0,2018,565244876,48278865.56,2018.08,8
0,2018,565244876,50754450.08,2018.09,9
0,2018,565244876,49134967.88,2018.1,10
0,2018,565244876,51768614.76,2018.11,11
0,2018,565244876,48250282.77,2018.12,12
0,2019,557014848,50803075.06,2019.01,1
0,2019,557014848,40823156.37,2019.02,2
0,2019,557014848,43215928.81,2019.03,3
0,2019,557014848,48542694.45,2019.04,4
0,2019,557014848,43247818.05,2019.05,5
0,2019,557014848,44595943.8,2019.06,6
0,2019,557014848,44256520.88,2019.07,7
0,2019,557014848,49665640.78,2019.08,8
0,2019,557014848,44219182.57,2019.09,9
0,2019,557014848,49440643.98,2019.1,10
0,2019,557014848,49221893.05,2019.11,11
0,2019,557014848,48982325.3,2019.12,12
0,2020,554525485,45902030.97,2020.01,1
0,2020,554525485,43634771.65,2020.02,2
0,2020,554525485,45638075.35,2020.03,3
0,2020,554525485,42836575.26,2020.04,4
0,2020,554525485,42393129.15,2020.05,5
0,2020,554525485,42841611.6,2020.06,6
0,2020,554525485,45023744.75,2020.07,7
0,2020,554525485,45245071.17,2020.08,8
0,2020,554525485,50115591.19,2020.09,9
0,2020,554525485,50381794.37,2020.1,10
0,2020,554525485,49996991.3,2020.11,11
0,2020,554525485,50516098.24,2020.12,12
0,2021,641260448,53130249.57,2021.01,1
0,2021,641260448,55822748.15,2021.02,2
0,2021,641260448,57873459.44,2021.03,3
0,2021,641260448,55976338.89,2021.04,4
0,2021,641260448,50597447.7,2021.05,5
0,2021,641260448,51802695.66,2021.06,6
0,2021,641260448,52198619.3,2021.07,7
0,2021,641260448,51718267.82,2021.08,8
0,2021,641260448,51472165.26,2021.09,9
0,2021,641260448,51706065.41,2021.1,10
0,2021,641260448,52979587.6,2021.11,11
0,2021,641260448,55982807.98,2021.12,12
0,2022,722273095,62545888.96,2022.01,1
0,2022,722273095,62030462.89,2022.02,2
0,2022,722273095,61363810,2022.03,3
0,2022,722273095,61493215.42,2022.04,4
0,2022,722273095,61958191.3,2022.05,5
0,2022,722273095,62313360.66,2022.06,6
0,2022,722273095,63942802.34,2022.07,7
0,2022,722273095,58223472.5,2022.08,8
0,2022,722273095,63503700,2022.09,9
0,2022,722273095,55423279.61,2022.1,10
0,2022,722273095,55056421.95,2022.11,11
0,2022,722273095,54418457.07,2022.12,12
0,2023,672555075,53808373.45,2023.01,1
0,2023,672555075,53116008.82,2023.02,2
0,2023,672555075,55558163.68,2023.03,3
0,2023,672555075,54288214.69,2023.04,4
0,2023,672555075,56466910.11,2023.05,5
0,2023,672555075,56322840.98,2023.06,6
0,2023,672555075,53532471.88,2023.07,7
0,2023,672555075,55243292.14,2023.08,8
0,2023,672555075,58393596.04,2023.09,9
0,2023,672555075,57960882.56,2023.1,10
0,2023,672555075,58514193.99,2023.11,11
0,2023,672555075,59350111.62,2023.12,12
10,2014,22976848,1990387.486,2014.01,1
10,2014,22976848,1937929.985,2014.02,2
10,2014,22976848,1879295.062,2014.03,3
10,2014,22976848,1971063.291,2014.04,4
10,2014,22976848,1776329.239,2014.05,5
10,2014,22976848,2143171.732,2014.06,6
10,2014,22976848,2046828.428,2014.07,7
10,2014,22976848,1961509.301,2014.08,8
10,2014,22976848,1873777.581,2014.09,9
10,2014,22976848,1863489.524,2014.1,10
10,2014,22976848,1754615.733,2014.11,11
10,2014,22976848,1778453.718,2014.12,12
10,2015,24714861,1945102.982,2015.01,1
10,2015,24714861,2180040.476,2015.02,2
10,2015,24714861,2088998.867,2015.03,3
10,2015,24714861,2095217.277,2015.04,4
10,2015,24714861,1992212.639,2015.05,5
10,2015,24714861,2038785.344,2015.06,6
10,2015,24714861,2036192.652,2015.07,7
10,2015,24714861,2105209.821,2015.08,8
10,2015,24714861,2102889.472,2015.09,9
10,2015,24714861,2007996.942,2015.1,10
10,2015,24714861,2100307.092,2015.11,11
10,2015,24714861,2021908.723,2015.12,12
10,2016,25852916,1928379.149,2016.01,1
10,2016,25852916,2155397.868,2016.02,2
10,2016,25852916,2223937.762,2016.03,3
10,2016,25852916,2122481.937,2016.04,4
10,2016,25852916,2266052.224,2016.05,5
10,2016,25852916,2245522.096,2016.06,6
10,2016,25852916,2247417.854,2016.07,7
10,2016,25852916,2284913.885,2016.08,8
10,2016,25852916,2067076.555,2016.09,9
10,2016,25852916,1967807.921,2016.1,10
10,2016,25852916,2290021.377,2016.11,11
10,2016,25852916,2053908.719,2016.12,12
10,2017,26998744,2207916.088,2017.01,1
10,2017,26998744,2152478.413,2017.02,2
10,2017,26998744,2335487.414,2017.03,3
10,2017,26998744,2134270.548,2017.04,4
10,2017,26998744,2284373.191,2017.05,5
10,2017,26998744,2262354.822,2017.06,6
10,2017,26998744,2149342.386,2017.07,7
10,2017,26998744,2312196.932,2017.08,8
10,2017,26998744,2341646.418,2017.09,9
10,2017,26998744,2454393.528,2017.1,10
10,2017,26998744,2288467.929,2017.11,11
10,2017,26998744,2075816.935,2017.12,12
10,2018,27300704,2146121.034,2018.01,1
10,2018,27300704,2292786.796,2018.02,2
10,2018,27300704,2079307.014,2018.03,3
10,2018,27300704,2229911.531,2018.04,4
10,2018,27300704,2486543.306,2018.05,5
10,2018,27300704,2265716.496,2018.06,6
10,2018,27300704,2296956.621,2018.07,7
10,2018,27300704,2312947.188,2018.08,8
10,2018,27300704,2245816.261,2018.09,9
10,2018,27300704,2298431.925,2018.1,10
10,2018,27300704,2406942.365,2018.11,11
10,2018,27300704,2239224.072,2018.12,12
10,2019,29199971,5317486.966,2019.01,1
10,2019,29199971,2013621.837,2019.02,2
10,2019,29199971,1874455.143,2019.03,3
10,2019,29199971,2339737.863,2019.04,4
10,2019,29199971,1861560.99,2019.05,5
10,2019,29199971,2064077.813,2019.06,6
10,2019,29199971,3329415.645,2019.07,7
10,2019,29199971,2185285.633,2019.08,8
10,2019,29199971,1968513.84,2019.09,9
10,2019,29199971,1979597.051,2019.1,10
10,2019,29199971,2239296.269,2019.11,11
10,2019,29199971,2026921.08,2019.12,12
10,2020,32697006,1968581.515,2020.01,1
10,2020,32697006,3399780.759,2020.02,2
10,2020,32697006,1887338.847,2020.03,3
10,2020,32697006,4335509.294,2020.04,4
10,2020,32697006,1719465.796,2020.05,5
10,2020,32697006,1866015.273,2020.06,6
10,2020,32697006,3141662.492,2020.07,7
10,2020,32697006,1808103.296,2020.08,8
10,2020,32697006,4049420.022,2020.09,9
10,2020,32697006,2044359.972,2020.1,10
10,2020,32697006,1862622.737,2020.11,11
10,2020,32697006,4614144.536,2020.12,12
10,2021,34363550,3478116.099,2021.01,1
10,2021,34363550,2731536.776,2021.02,2
10,2021,34363550,2384458.022,2021.03,3
10,2021,34363550,2725536.751,2021.04,4
10,2021,34363550,2528196.462,2021.05,5
10,2021,34363550,2398943.597,2021.06,6
10,2021,34363550,2376783.571,2021.07,7
10,2021,34363550,2910278.394,2021.08,8
10,2021,34363550,2823903.886,2021.09,9
10,2021,34363550,2826180.746,2021.1,10
10,2021,34363550,4824428.121,2021.11,11
10,2021,34363550,2355188.087,2021.12,12
10,2022,37260435,3018348.981,2022.01,1
10,2022,37260435,3225467.982,2022.02,2
10,2022,37260435,3025982.197,2022.03,3
10,2022,37260435,2952789.827,2022.04,4
10,2022,37260435,3031962.512,2022.05,5
10,2022,37260435,3200243.057,2022.06,6
10,2022,37260435,3236279.854,2022.07,7
10,2022,37260435,2933526.339,2022.08,8
10,2022,37260435,3137490.003,2022.09,9
10,2022,37260435,3251976.585,2022.1,10
10,2022,37260435,3174458.466,2022.11,11
10,2022,37260435,3071909.75,2022.12,12
10,2023,40618249,3463730.034,2023.01,1
10,2023,40618249,3462610.002,2023.02,2
10,2023,40618249,3394436.646,2023.03,3
10,2023,40618249,3399967.201,2023.04,4
10,2023,40618249,3471540.6,2023.05,5
10,2023,40618249,3460071.545,2023.06,6
10,2023,40618249,3377140.157,2023.07,7
10,2023,40618249,3129056.87,2023.08,8
10,2023,40618249,3233241.325,2023.09,9
10,2023,40618249,3553627.651,2023.1,10
10,2023,40618249,3487436.821,2023.11,11
10,2023,40618249,3185392.569,2023.12,12
11,2014,5875089,591732.5486,2014.01,1
11,2014,5875089,420135.8993,2014.02,2
11,2014,5875089,568082.2668,2014.03,3
11,2014,5875089,501248.8246,2014.04,4
11,2014,5875089,572340.3558,2014.05,5
11,2014,5875089,369048.9865,2014.06,6
11,2014,5875089,515716.4433,2014.07,7
11,2014,5875089,436425.0803,2014.08,8
11,2014,5875089,549195.0811,2014.09,9
11,2014,5875089,532347.4464,2014.1,10
11,2014,5875089,402979.6662,2014.11,11
11,2014,5875089,415836.9265,2014.12,12
11,2015,6148385,486946.8213,2015.01,1
11,2015,6148385,378457.5286,2015.02,2
11,2015,6148385,459202.0736,2015.03,3
11,2015,6148385,517806.492,2015.04,4
11,2015,6148385,486434.3098,2015.05,5
11,2015,6148385,563543.7015,2015.06,6
11,2015,6148385,460044.8682,2015.07,7
