time,ym,indmc,uib,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,EXIT,EXITfull,EXITpart,hour,wage_tot,prod,E9,hourfull,hourpart,wage_totfull,wage_totpart,hire,hirefull,hirepart,left,leftfull,leftpart
2013. 03,638,30,,317952,308239,9607,4278,4266,12,6620,4820,1800,6955,5331,1624,184,3447274,90.322,,184.4,160,3479575,1740893,5852,4051,1800,4995,3918,1077
2013. 04,639,30,,318806,309233,9491,3266,3229,37,7518,5053,2465,6640,4881,1759,194.5,4046126,90.954,,195.1,165.7,4092452,1703955,6905,4439,2465,4246,3589,656
2013. 05,640,30,,318694,309499,9089,3240,3131,109,5634,3918,1716,5771,4209,1561,191.4,3246893,91.694,,191.9,165.1,3272639,1744531,5322,3606,1716,4657,3823,834
2013. 06,641,30,,319576,310082,9386,3124,3081,43,6329,4391,1938,5449,4431,1018,181.1,4208859,96.315,,181.6,157.9,4251635,1762979,6245,4343,1903,4215,3638,576
2013. 07,642,30,,321400,312140,9153,2827,2756,71,8201,6307,1895,6376,4947,1429,188.2,4260566,86.602,,188.7,158.7,4302751,1856538,7800,5958,1842,4564,3861,703
2013. 08,643,30,,322900,313542,9274,3034,2973,61,6544,4380,2163,5020,3662,1358,182.9,4336318,106.692,,183.4,154.8,4382001,1892745,6233,4069,2163,3670,3138,532
2013. 09,644,30,,323526,314263,9178,2980,2848,131,5720,3923,1798,5095,3900,1195,163.1,5065098,92.026,,163.1,161.6,5100711,2587222,5532,3734,1798,3693,3115,578
2013. 10,645,30,,326013,316344,9583,3060,3018,42,7851,5209,2642,5365,3830,1535,198,4534451,101.18,,198.7,164.1,4585401,2129405,7203,4572,2631,3560,3076,483
2013. 11,646,30,,328122,318904,9025,4838,4726,112,8498,5926,2572,6496,4809,1687,200.6,3721908,97.267,,201.3,165.1,3759059,1884683,8369,5798,2572,5128,4240,888
2013. 12,647,30,,330784,321608,9031,4445,4360,85,8716,6212,2504,6007,4208,1798,201.4,6224430,101.755,,202.1,172.8,6318982,2148098,8362,5857,2504,4621,3657,963
2014. 01,648,30,,333116,324908,8080,4660,4461,198,9589,7067,2523,7240,5712,1528,192.2,4270483,108.141,16516,193.1,157.4,4328974,2119336,8447,5938,2509,4389,3877,512
2014. 02,649,30,,334806,326393,8284,5285,5163,122,8695,6045,2650,7006,6032,973,185.2,4275987,102.532,16586,185.9,155.6,4331271,1811817,8396,5764,2632,5917,5325,592
2014. 03,650,30,,334886,326424,8330,4684,4610,74,9801,7165,2636,9724,8268,1456,200.6,3545544,104.393,16667,201.5,167.8,3593069,1766050,8707,6071,2636,7481,6488,992
2014. 04,651,30,,337028,328755,8141,4587,4567,20,8239,5886,2353,6097,5029,1068,204.2,4384327,102.271,16853,205.1,168.7,4446143,1889155,7832,5480,2352,5055,4514,541
