time,ym,indmc,uib,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,EXIT,EXITfull,EXITpart,hour,wage_tot,prod,E9,hourfull,hourpart,wage_totfull,wage_totpart,hire,hirefull,hirepart,left,leftfull,leftpart
2009. 06,593,10,,180495,146660,33457,3117,1737,1379,12057,3466,8591,9482,3638,5844,,,89.93,,,,,,11749,3224,8526,5338,2890,2448
2009. 07,594,10,,180446,147196,33063,2405,2030,375,8576,3668,4908,8435,3849,4586,,,90.263,,,,,,8254,3346,4908,4305,2992,1314
2009. 08,595,10,,181609,146274,35169,3221,2206,1015,7481,3366,4115,6297,3238,3059,,,89.657,,,,,,7344,3229,4115,3699,2617,1082
2009. 09,596,10,,183671,147160,36326,2719,2175,544,9262,3503,5760,7220,2663,4557,,,91.325,,,,,,9040,3297,5743,3927,2268,1659
2009. 10,597,10,,184037,147236,36651,2424,2053,371,7478,3484,3994,7076,2926,4150,,,87.021,,,,,,7323,3330,3993,3696,2145,1551
2009. 11,598,10,,185395,148377,36994,2618,1910,708,7514,3289,4225,6031,2859,3171,,,90.027,,,,,,7057,2833,4224,3480,2288,1192
2009. 12,599,10,,185653,146693,38711,2725,1951,775,7155,3248,3906,7121,3745,3377,,,90.789,,,,,,6754,2848,3906,3607,2336,1272
2010. 01,600,10,,187289,148145,38673,3503,2509,994,9328,3555,5773,7914,3118,4795,,,91.443,,,,,,8564,2791,5772,3151,2117,1034
2010. 02,601,10,,184503,147145,36766,4872,3420,1452,6663,2809,3854,9570,3558,6012,,,93.244,,,,,,6052,2544,3509,4745,2498,2248
2010. 03,602,10,,183836,147294,35959,4921,3689,1231,7281,3839,3443,7939,3237,4703,,,91.205,,,,,,6698,3265,3433,3974,2623,1351
2010. 04,603,10,,183783,148774,34409,4343,3395,948,7185,3644,3541,7255,3039,4216,,,91.094,,,,,,6867,3326,3541,3561,2443,1118
2010. 05,604,10,,185031,151656,32865,4067,3214,853,8846,4805,4041,7508,3399,4109,,,91.723,,,,,,7348,3316,4032,3978,2817,1161
2010. 06,605,10,,185553,151252,33794,4043,3319,723,9613,3321,6292,9088,3943,5145,,,93.683,,,,,,9550,3257,6292,4388,3148,1240
2010. 07,606,10,,187895,151557,35851,4053,3052,1001,11603,4918,6685,9241,3677,5565,,,94.234,,,,,,11315,4630,6685,4896,3254,1642
2010. 08,607,10,,187862,152107,35288,5001,3848,1152,8414,4200,4214,8427,3339,5088,,,94.168,,,,,,8310,4102,4208,4306,2906,1401
2010. 09,608,10,,187252,151628,35266,5514,4336,1178,9345,3655,5689,9846,3767,6078,,,95.065,,,,,,8879,3242,5638,5863,3292,2571
2010. 10,609,10,,187307,151810,35096,4727,3599,1128,11349,5211,6138,11337,4668,6668,,,92.879,,,,,,9838,3997,5841,6062,4011,2050
2010. 11,610,10,,187616,151470,35700,3981,3125,856,11401,5156,6245,11137,4842,6295,,,95.653,,,,,,11284,5052,6232,6461,4390,2071
2010. 12,611,10,,186983,151759,34902,2802,1956,846,13364,5535,7830,13873,3733,10140,,,96.904,,,,,,12657,5356,7301,6166,3173,2992
2011. 01,612,10,,185398,149453,35601,2690,2292,398,16430,5238,11192,18037,4815,13221,188.8,2073247,98.795,,196.4,142,2244173,1016559,15610,4436,11174,5859,4162,1697
2011. 02,613,10,,189560,150685,38538,2886,2413,473,14548,5662,8886,10379,4945,5435,164.7,2019391,90.997,,169.2,136.6,2187412,970958,14374,5488,8886,6198,4284,1915
2011. 03,614,10,,190924,151991,38587,2961,2265,696,12609,6099,6510,11254,4705,6548,195.6,1938909,97.043,,202.3,155.9,2092762,1019623,11573,5089,6484,5250,3595,1655
2011. 04,615,10,,193211,151866,40163,3254,2582,672,13243,5014,8229,11792,5491,6301,191.7,2010028,91.816,,198.2,153.4,2183528,982268,12933,4723,8210,6828,4440,2388
2011. 05,616,10,,191215,150392,39597,3011,2188,824,13217,4543,8674,15257,4617,10640,187,1944525,93.288,,192.1,155.9,2091046,1042634,13057,4384,8673,10589,3954,6635
2011. 06,617,10,,192440,160229,30981,3579,2807,772,12467,5694,6774,11246,4337,6909,191.1,2025637,95.172,,198.1,149,2180665,1089549,12314,5557,6757,6659,3662,2997
2011. 07,618,10,,194109,159946,32978,2777,2271,506,13919,5727,8192,12205,4753,7453,191.6,2053568,94.708,,197.5,151,2210718,972298,13753,5568,8184,7542,3993,3549
2011. 08,619,10,,197298,159739,35939,2728,2273,455,12715,5049,7666,9961,4207,5754,187.4,2121635,98.025,,192.8,150.5,2284267,1014767,12534,4870,7664,6407,3672,2735
2011. 09,620,10,,198328,162839,33783,2763,2353,410,11316,5474,5843,10372,3506,6866,183.4,2222477,93.457,,188.4,147.9,2394612,984142,11082,5240,5842,5842,2883,2959
2011. 10,621,10,,198315,161132,35531,3587,2720,868,9751,3953,5798,9710,3611,6100,182.5,2051473,95.101,,188.7,139.3,2205601,974147,9611,3815,5796,5895,3240,2655
2011. 11,622,10,,199931,157044,41544,3639,2314,1325,11253,3574,7679,9328,3599,5729,192.7,2020606,96.804,,198.2,159.5,2174724,1087369,10906,3271,7634,5201,3284,1917
2011. 12,623,10,,199934,155813,42857,3215,2318,897,8121,3332,4788,8039,2907,5132,194.9,2487265,96.919,,200.4,161.4,2718309,1064973,7846,3065,4782,4176,2240,1936
2012. 01,624,10,,198155,155837,41774,3289,2217,1072,18245,4793,13452,19304,4383,14920,177.4,2240744,93.648,,183.4,144.3,2465053,998030,17174,3727,13448,5937,3437,2500
2012. 02,625,10,,203776,157441,45891,3082,2294,788,17072,4659,12413,11351,3632,7719,181.2,2100708,96.368,,189.1,138.7,2323180,907607,16749,4346,12403,4627,3008,1619
2012. 03,626,10,,206381,158270,47729,2949,2284,665,14793,6068,8725,12126,4572,7553,185.5,2077849,96.996,,192.4,146.7,2281955,938983,13843,5188,8655,5825,3642,2183
2012. 04,627,10,,206034,159583,46054,2693,2051,642,10742,4668,6075,11104,3753,7351,184.1,2121506,97.117,,189.2,153.1,2309426,975946,10542,4467,6075,5617,3356,2261
2012. 05,628,10,,205797,160582,44853,2883,2084,799,11721,4319,7403,11923,3690,8233,187.1,2069027,98.643,,193.4,149.2,2256786,955938,11577,4180,7397,6250,3359,2891
2012. 06,629,10,,206018,168585,36652,2791,2020,771,11489,4030,7459,11687,3948,7740,181.1,2144295,96.421,,186.4,144.6,2309039,1000665,11350,3891,7459,5044,3305,1739
2012. 07,630,10,,207881,169117,38044,3167,1793,1375,14531,4735,9796,12607,3761,8846,188.9,2133733,97.349,,195.5,146.2,2304183,1033898,13588,3824,9764,5351,3257,2094
2012. 08,631,10,,205669,172787,31949,2236,1434,802,11079,3448,7632,13504,2967,10537,184.4,2120321,97.865,,191,141,2290957,1001846,10672,3040,7632,5579,2661,2918
2012. 09,632,10,,208818,172906,35080,2874,1508,1366,14203,3842,10361,10953,2729,8225,179.6,2353017,97.32,,185,141.7,2536208,1058139,13878,3539,10340,5056,2398,2658
2012. 10,633,10,,209390,172848,35594,2875,1917,958,13342,4335,9007,12886,4699,8187,182.1,2106164,97.629,,189.2,134.5,2278217,962986,12964,3972,8992,6659,3991,2668
2012. 11,634,10,,208607,169070,38572,2695,2050,645,10176,4017,6159,10976,3927,7049,190.6,2055922,98.278,,198.7,137.3,2220046,972535,9783,3625,6159,5268,3566,1702
2012. 12,635,10,,207940,170437,36623,2652,1843,808,9955,4638,5317,10537,2957,7580,180.2,2524580,97.002,,185.2,147.4,2753054,1039633,9479,4162,5317,4492,2318,2175
2013. 01,636,10,,207545,175318,31730,3293,2107,1187,9489,4908,4581,9501,4734,4767,192.3,2206452,98.336,,198.9,146.2,2375554,1025756,8746,4178,4568,4897,3192,1705
2013. 02,637,10,,211215,175964,34465,3657,3074,583,12848,4248,8600,9466,3971,5496,160.8,2242591,95.542,,170.3,109.9,2512782,807582,12134,3534,8600,4990,2744,2246
2013. 03,638,10,,216776,174190,41694,4114,2782,1333,17096,4625,12470,11642,5576,6066,177.4,2150165,95.756,,184.4,140,2369591,987406,16614,4178,12436,5854,3420,2434
2013. 04,639,10,,211829,175338,35631,4262,3022,1240,9529,5198,4332,14444,4326,10117,189.9,2163053,95.459,,197.6,145.6,2350538,1095319,8828,4510,4318,4814,3200,1614
2013. 05,640,10,,212255,176144,35220,3615,2521,1094,9424,5063,4361,9030,4291,4739,185.8,2155068,97.227,,192.7,145.9,2336485,1102281,8877,4519,4358,4770,2951,1819
2013. 06,641,10,,205621,176056,28635,2718,1798,920,10555,4042,6513,17227,4003,13224,172.8,2192625,94.393,,179.2,127.5,2372780,918446,10431,3918,6513,4616,2940,1676
2013. 07,642,10,,206482,175870,29723,3114,2162,952,12116,4444,7672,11215,4653,6562,192,2234700,96.647,,200.8,136.9,2432780,1005792,11668,4097,7572,6566,3724,2842
2013. 08,643,10,,205814,175408,29431,2762,1897,865,10461,3391,7070,11215,3749,7466,178.2,2216301,97.346,,186.1,128.9,2420606,958154,10149,3091,7059,6111,2852,3259
2013. 09,644,10,,203791,175188,27548,2991,2430,561,9162,3569,5593,11265,3788,7477,159.7,2367283,97.529,,168.4,109.3,2621669,891339,8751,3158,5593,5143,2841,2302
2013. 10,645,10,,210253,174826,34400,2787,2278,508,16674,3890,12784,10184,4156,6028,183.7,2211055,99.735,,192.5,123.9,2396010,954669,16169,3384,12784,5069,2764,2305
2013. 11,646,10,,210593,183145,27016,5063,3269,1794,11896,5076,6821,10962,5711,5251,187.4,2161584,96.723,,191.5,156.8,2314938,1018490,11577,4756,6821,6691,4621,2070
2013. 12,647,10,,211519,185291,25802,3422,2499,922,11374,5645,5729,10442,3804,6639,185,2589209,100.093,,189.4,153.7,2809926,1024475,11183,5468,5715,5046,3061,1986
2014. 01,648,10,,211101,188579,22106,4589,3652,937,12139,4969,7170,12547,5662,6886,178.4,2395265,100.412,5876,183,135.2,2545434,997233,11569,4419,7150,7317,4558,2759
2014. 02,649,10,,207322,189548,17659,5197,3864,1333,11239,4719,6520,14716,5585,9131,169.8,2140902,98.998,5871,176.8,115.8,2306642,856610,10271,3751,6520,6409,4152,2258
2014. 03,650,10,,211171,192098,18957,5278,4051,1227,13141,5848,7292,9293,5125,4168,179.8,2182619,98.061,5817,185.5,136.3,2341778,963193,12696,5404,7292,5660,3824,1836
2014. 04,651,10,,212120,193235,18669,4388,3673,715,11599,5139,6460,10749,5646,5103,189,2218491,99.359,6090,195.4,138.1,2370317,1001009,11057,4597,6460,5822,4018,1804
2014. 05,652,10,,213449,195413,17832,4756,3977,779,11370,5364,6006,10030,4971,5059,176.3,2175124,97.948,6253,181.1,137,2309222,1060765,11198,5192,6006,6558,4029,2529
2014. 06,653,10,,214503,196545,17748,4339,3511,828,12393,6010,6382,11345,6853,4491,177.6,2323324,100.063,6227,181.9,136.7,2452932,1068004,11870,5488,6382,6418,4550,1868
2014. 07,654,10,,218578,199194,18819,3784,3176,608,12247,5901,6346,8526,5307,3220,194.3,2407709,101.62,6270,199.7,142.2,2548360,1047995,11926,5580,6346,5305,3546,1759
2014. 08,655,10,,220729,200374,19771,4040,3649,391,10614,3987,6627,8482,4556,3926,177.8,2432674,100,6573,181.3,144.3,2575388,1071727,10339,3711,6627,6415,3887,2528
2014. 09,656,10,,220557,201665,18304,3447,3126,321,10888,4881,6007,11064,5407,5656,175.1,2473872,97.416,6553,179.5,133.2,2628730,1021163,10597,4590,6007,5867,4541,1326
2014. 10,657,10,,225212,205183,19443,5177,4142,1035,14843,7255,7588,10186,5597,4590,187.8,2383383,98.068,6567,191.7,143.8,2499000,1102851,13732,6144,7588,6435,5030,1405
2014. 11,658,10,,226016,207039,18378,4784,3502,1282,10792,4743,6049,10000,4627,5373,182,2294474,94.074,6807,185.9,140,2404433,1083689,10470,4421,6049,5162,3858,1305
2014. 12,659,10,,228857,209955,18316,4489,3195,1294,12168,5589,6579,9315,4917,4398,191.2,2731172,98.347,7003,196.4,136.5,2888585,1057472,11844,5281,6564,5787,4295,1492
2015. 01,660,10,5948,231179,210622,19945,4258,2964,1294,11052,6020,5032,8755,5565,3191,186,2410152,97.8,7091,190.3,140.9,2535184,1119229,10656,5624,5032,5283,3932,1351
2015. 02,661,10,5743,226149,211634,13887,4064,3124,940,9455,4576,4880,14501,4450,10052,156.3,2628311,101.9,7081,158.7,128.8,2759978,1095531,8166,3287,4880,4438,3465,973
2015. 03,662,10,6155,224529,210235,13674,4563,4021,541,9140,4920,4220,10751,6694,4057,190.6,2336982,99.4,7017,196.6,140.6,2481016,1139013,8740,4520,4220,6907,5374,1532
2015. 04,663,10,6246,221858,209425,11821,4729,4330,399,8170,5630,2540,10833,7007,3826,191,2382514,99.7,7211,195.9,141.1,2506537,1126630,7327,4787,2540,5962,5008,954
2015. 05,664,10,5878,222713,208752,13347,4895,4270,625,8809,4700,4109,7956,5731,2225,173.1,2351489,98,7385,177.7,128,2485427,1051523,8320,4211,4109,5370,4306,1064
2015. 06,665,10,6269,224881,209463,14679,4336,3388,948,10080,4887,5193,8038,4672,3366,189.5,2396819,99.8,7560,196.3,132.5,2555815,1069980,9619,4488,5131,4957,3785,1172
2015. 07,666,10,6927,225615,210647,14170,4888,3637,1251,8825,6116,2709,8150,5497,2653,194.4,2441812,99.1,7683,200.6,139.3,2589193,1134488,8504,5795,2709,5640,4287,1353
2015. 08,667,10,6809,227668,210831,16195,4273,3410,863,9701,4082,5619,7491,4384,3107,179.5,2372930,101.6,7656,184.9,132.3,2519585,1085734,9477,3858,5619,5011,3729,1282
2015. 09,668,10,6666,228186,211716,15845,5059,4092,967,10786,5153,5633,10251,4661,5590,179.5,2767613,101.8,7800,183.8,131.3,2918071,1080032,10478,4845,5633,4514,3803,711
2015. 10,669,10,6078,229075,213322,15044,4956,3866,1090,10609,5511,5098,9804,5285,4518,187.4,2373696,99.7,7890,192.9,126.1,2488257,1086081,10346,5248,5098,4939,4200,739
2015. 11,670,10,5817,230894,214488,15590,4185,3287,898,14853,5755,9098,13141,4625,8516,187,2377782,100.1,7901,192.1,123.6,2483960,1041249,13383,4285,9098,4651,3722,930
2015. 12,671,10,5581,236087,216677,18347,3789,2901,888,14146,6736,7409,9200,5078,4122,191.4,2796360,101.1,8086,196.8,126.9,2942656,1061219,13847,6438,7409,4751,4092,659
2016. 01,672,10,5948,238130,219170,18014,3502,3208,295,14622,7365,7257,12461,5364,7097,180.5,2621797,99.1,8056,185.4,124.6,2758454,1061424,12889,5688,7201,4892,4174,718
2016. 02,673,10,5979,230401,218863,11412,4225,3488,737,8931,4553,4378,15840,5237,10604,161.7,2614439,102.6,7928,165.6,114.6,2751409,992530,8391,4014,4378,5576,4200,1376
2016. 03,674,10,6304,231727,219177,12425,4501,3986,516,11180,6414,4766,9853,6519,3333,193,2531151,103.6,7793,198.5,124.9,2646916,1081170,10798,6032,4766,5718,4986,732
2016. 04,675,10,6253,232610,219776,12763,4588,3989,599,9888,6194,3693,8951,5850,3101,185.5,2477998,101.6,8141,188.4,121,2541395,1069808,9099,5406,3693,5469,4711,758
2016. 05,676,10,6367,233146,220401,12304,4774,4528,246,9171,5488,3684,9005,5371,3634,184.1,2493824,104.4,8329,186.8,119.6,2553175,1087655,8538,4854,3684,6348,4616,1732
2016. 06,677,10,6319,236430,220211,15825,5006,4440,566,12252,5348,6904,8921,5832,3088,186.3,2529126,102.7,8579,189.9,117.8,2603493,1092624,12077,5173,6904,5874,4217,1657
2016. 07,678,10,6608,239013,221924,16685,4302,3855,448,10302,6700,3602,7729,5231,2499,185.1,2605086,102.8,8629,188.3,125,2685454,1106332,10042,6440,3602,4976,4508,468
2016. 08,679,10,6695,238951,223195,15356,4549,4118,431,11584,5910,5674,11642,5203,6439,186.8,2600533,104,8833,190.9,112.7,2688727,1005418,10876,5202,5674,5618,4209,1409
2016. 09,680,10,6368,238613,224004,14494,5348,4748,600,9599,4386,5213,9651,3776,5875,171.6,2821596,102.4,9072,176.3,90.2,2939128,780268,9285,4072,5213,4077,3312,764
2016. 10,681,10,5482,240055,225696,14148,6016,5715,301,10671,5704,4967,9326,4525,4802,182,2536284,100.5,9163,185.5,110.1,2609820,1022249,10292,5325,4967,5086,4210,875
2016. 11,682,10,5346,242780,228821,13741,5287,4748,539,11007,5519,5489,8289,4858,3431,192.7,2498698,104.5,9159,197.4,107.4,2579109,1024996,10591,5217,5373,5654,4274,1380
2016. 12,683,10,5117,242827,228487,14122,6002,5248,753,10225,3961,6264,10179,4640,5539,191.4,3024035,100.3,9281,196.2,123.5,3166797,990849,9942,3678,6264,5721,3838,1883
2017. 01,684,10,5324,240675,224973,15348,2686,1963,723,11729,3191,8538,14018,4493,9525,176.3,3057908,104,9083,182.8,114.1,3265012,1053779,11351,2858,8493,3865,3282,583
2017. 02,685,10,5681,237618,223278,14075,3865,3136,729,8285,4236,4049,11252,6225,5027,173.5,2537641,102.5,8869,180,93.3,2674283,835234,7790,3741,4049,5269,4278,991
2017. 03,686,10,6031,237755,223577,13912,4219,3637,582,9917,4880,5037,9781,5438,4344,189.6,2563074,103.8,8763,196.8,96.9,2695366,841437,9579,4542,5037,6387,4571,1816
2017. 04,687,10,6074,238200,223963,13468,4514,3743,771,11286,5359,5927,11344,6109,5235,180.5,2614083,100.6,8845,186.8,102.7,2753531,910908,10870,4943,5927,6225,5099,1125
2017. 05,688,10,6162,239736,224305,14680,4113,3913,200,11471,5037,6434,9916,5281,4635,177.5,2585265,102.6,8904,183.2,100.9,2712029,902229,11195,4761,6434,6078,4890,1188
2017. 06,689,10,6391,239756,225066,13930,3541,3299,242,8310,4688,3623,8299,5117,3182,183.9,2723052,102.9,9100,188.7,113.8,2839915,1020018,8259,4643,3616,5613,4401,1212
2017. 07,690,10,6654,240234,225832,13634,3283,3083,199,9031,5296,3735,8561,5296,3265,182.3,2712498,100.3,9217,188.3,103.1,2843560,971274,9003,5267,3735,5352,4760,592
2017. 08,691,10,6917,241112,224158,16180,4796,4148,648,11839,4803,7036,10968,7142,3826,183.9,2653426,104.6,9189,190.3,107.1,2787498,1022871,11758,4728,7030,7252,5956,1296
2017. 09,692,10,6746,246906,227856,18355,3799,3063,736,15563,7289,8274,9689,4124,5565,188.2,3062533,104.7,9415,195,118.5,3250096,1147886,15225,6952,8274,5591,3571,2021
2017. 10,693,10,5664,245530,228184,16550,4221,3621,600,13344,4826,8518,14820,5350,9470,157,2608556,106.5,9535,163,88.7,2756523,918959,12694,4181,8512,5401,4130,1271
2017. 11,694,10,5729,246076,229832,15443,4487,3829,658,12558,6853,5705,12018,6552,5466,189.2,2587243,104,9583,194.6,113.2,2693469,1098757,11987,6286,5702,5957,4959,998
2017. 12,695,10,5554,249301,231453,17029,4301,3502,799,12831,5764,7068,9624,4877,4746,176.3,3263742,102.3,9767,182,107.1,3450703,1001766,12166,5099,7068,4990,4176,814
2018. 01,696,10,6129,252056,232247,18968,4745,4354,391,15566,7848,7718,14341,6950,7391,187.6,2776338,101.8,9885,192.3,126,2892647,1265031,14752,7036,7717,5829,5300,529
2018. 02,697,10,6103,249009,233381,14674,4222,3915,307,11328,6292,5037,14490,5702,8788,159.9,3102953,106.6,9662,164.7,104.2,3272153,1165882,11002,5966,5037,4949,4452,496
2018. 03,698,10,6480,250448,235278,14366,4031,3906,125,16270,7783,8487,14680,6663,8017,181.5,2745420,100.3,9572,187.6,108.2,2871104,1227681,15773,7286,8487,5887,5202,685
2018. 04,699,10,6703,251339,235348,15111,4165,3946,218,14911,7474,7438,14097,7477,6619,182.6,2673246,103,9680,188,111.8,2788359,1171967,14686,7249,7438,6594,6141,453
2018. 05,700,10,6907,253282,235736,16753,3955,3844,111,15240,6700,8541,13211,6347,6864,178,2705988,108.7,9791,184.9,104,2865946,1004381,14986,6446,8541,5724,5038,686
2018. 06,701,10,6893,253448,236013,16652,4536,4085,451,13535,7501,6034,13358,7209,6149,173.1,2794827,104.6,9985,179.1,99.1,2939133,995975,13151,7117,6034,6227,5577,650
2018. 07,702,10,7412,255144,237518,16788,4694,4221,473,12963,7435,5528,11322,6065,5258,184.2,2764626,101.8,10160,189.8,115.2,2894561,1148729,12613,7093,5520,5952,5346,606
2018. 08,703,10,7485,258701,239680,18159,5925,5206,719,17430,8952,8478,13896,6607,7289,181.8,2780741,105.4,10221,186.3,127.6,2911037,1226386,16824,8346,8478,6934,5744,1190
2018. 09,704,10,6867,259085,240823,17395,6694,4958,1736,17697,7075,10621,17317,5916,11401,159.4,3163552,104.2,10293,166,97.2,3386147,1060235,17412,6790,10621,5381,4891,490
2018. 10,705,10,6820,264541,243594,19749,4873,4430,443,16447,8427,8020,11323,5731,5591,181.1,2717781,106,10518,187,106.9,2847042,1089784,15636,7621,8015,5972,5043,929
2018. 11,706,10,6468,266136,244973,19918,5856,4361,1495,15239,7545,7693,13691,5890,7801,185.4,2677834,106.4,10529,192.5,103.2,2819240,1027237,14684,6991,7693,5589,5146,443
2018. 12,707,10,6141,266604,245506,19467,5133,4796,336,16246,6894,9352,16163,6337,9826,172.5,3255395,104.6,10710,179.8,104.6,3489750,1083683,15824,6472,9352,6170,5177,994
2019. 01,708,10,7111,266060,245832,18582,6546,5079,1467,15598,8119,7479,16157,7762,8396,182.4,3187894,108.9,10691,189.6,111.6,3384924,1250224,14850,7371,7479,7140,6312,828
2019. 02,709,10,6915,265661,248344,15956,3574,3393,181,13927,7279,6649,14040,5890,8150,149.8,2939258,104.5,10579,153.9,95,3084835,990994,13130,6500,6630,4913,4519,394
2019. 03,710,10,7403,267996,249527,17282,3653,3488,165,14554,8028,6526,12044,6664,5380,172.3,2856693,106,10575,178.1,107.1,2995370,1285722,14062,7536,6526,5666,5110,556
2019. 04,711,10,7921,268657,249584,17916,4176,3973,203,12283,7380,4903,11593,7289,4304,183.6,2809320,107.9,10920,190.7,113.3,2969388,1213654,11712,6823,4889,6632,6059,573
2019. 05,712,10,8139,268498,249490,17810,4783,4386,397,11615,6551,5064,11815,6718,5097,179.4,2812351,107.2,10916,186.2,106.8,2974658,1078017,11466,6402,5064,6221,5536,685
2019. 06,713,10,8173,268692,250211,17438,4345,3906,440,10770,7059,3711,10421,6194,4227,166.1,2882747,106,11124,172.4,99.6,3053138,1089940,10559,6848,3711,6353,5303,1050
2019. 07,714,10,8902,269960,250445,18413,5129,3720,1409,12839,7021,5818,11630,6799,4832,185.2,2869100,109.4,11357,191.8,109.5,3016089,1201590,12406,6614,5792,6274,5661,613
2019. 08,715,10,8604,271883,250983,19661,4810,4352,458,13188,6571,6616,11401,6050,5351,171.4,2999286,106.8,11361,179.1,100.1,3204289,1095530,12891,6275,6616,6450,5395,1055
2019. 09,716,10,8096,269705,250866,17814,4541,4201,340,13615,5854,7761,15580,5822,9758,161.6,3137667,107.5,11491,168.7,94.5,3355552,1077146,13243,5482,7761,6035,5208,827
2019. 10,717,10,7802,276000,252751,22317,5461,4951,511,16752,8249,8503,10365,6340,4024,174,2820192,108.8,11658,181,102.7,2986638,1137058,16527,8024,8503,5481,5235,246
2019. 11,718,10,7427,277472,253113,23555,4407,4214,192,14154,7693,6461,12553,7279,5274,175.4,2787333,108.8,11701,182.1,104.9,2944111,1127652,13721,7260,6461,7017,6465,552
2019. 12,719,10,7482,277417,253897,22370,4259,3992,267,9988,6263,3725,10389,5479,4911,173.8,3348065,111.1,11985,180.2,113.3,3569745,1263419,9307,5582,3725,5644,4755,888
2020. 01,720,10,8183,277438,251466,24819,4248,3940,307,15106,6459,8647,15087,6423,8665,169.1,3276503,108.7,11985,173,126.3,3443230,1459607,14182,5542,8639,4760,4164,596
2020. 02,721,10,8643,274065,250789,22098,3289,3040,249,10704,6195,4509,14102,7341,6761,167.1,2833816,107.2,11710,170.5,116,2938968,1249280,10276,5767,4509,6859,5785,1073
2020. 03,722,10,9448,269202,247202,20819,2788,2668,120,10434,5927,4507,15300,9518,5781,178.7,2851793,109.5,11389,183,121.8,2952696,1498062,9714,5207,4507,5513,5059,454
2020. 04,723,10,10136,265331,244072,20077,2973,2858,115,9735,4580,5155,13607,7734,5873,168.6,2844096,112.4,11209,172.3,119.4,2959440,1278469,9210,4056,5154,4081,3872,209
2020. 05,724,10,10636,266255,244003,20963,3699,2965,733,11504,5865,5640,10687,5974,4712,162.1,2821089,104.4,11063,166.5,102.3,2943097,1143879,10050,4600,5450,4565,4040,525
2020. 06,725,10,11374,267467,245306,20890,3412,2692,721,14100,7101,6998,12871,5889,6982,180,2901480,110.1,10934,184.8,112.8,3021424,1227869,12268,5269,6998,4402,3865,536
2020. 07,726,10,12170,267090,244268,21552,3302,2520,782,11886,5814,6072,12262,6735,5527,185.6,2949629,111.4,10882,189.5,129.9,3056051,1438611,10990,4918,6072,5367,4142,1225
2020. 08,727,10,12055,272953,246498,25115,3756,2794,962,16949,7327,9623,11157,5131,6026,167.6,2904932,108.2,10760,171.7,112.5,3028100,1234138,15918,6295,9623,5345,4043,1302
2020. 09,728,10,12071,275567,247932,26301,3126,2650,476,17513,6518,10995,14893,5241,9652,175.3,3275847,110.6,10585,181.9,108.3,3476840,1258376,16454,5459,10995,4844,4078,767
2020. 10,729,10,11297,272416,246500,24653,4215,3525,690,12661,5630,7030,15741,7105,8635,163.4,2880159,109.1,10407,167.1,117,3001085,1327909,12381,5352,7030,6101,5242,859
2020. 11,730,10,10716,274003,247795,25025,3649,2924,726,13696,7241,6455,12029,6343,5686,176.5,2870325,109.7,10209,180.4,120.8,2976088,1329073,13166,6711,6455,5818,4992,826
2020. 12,731,10,10276,272897,247788,24037,3537,3046,491,13700,6642,7058,14696,6818,7878,181.5,3450176,111.9,10011,185.8,127.8,3612973,1418681,13074,6017,7057,5356,4587,770
2021. 01,732,10,10495,274792,248454,25190,3284,3169,115,14655,7861,6794,12836,7339,5497,169.9,3070856,106.6,9819,174.1,119.8,3214802,1378483,13509,6717,6792,6080,5254,826
2021. 02,733,10,10755,272099,246995,23867,3484,3268,216,11336,4794,6542,14118,6195,7922,152.8,3248811,111.7,9585,155.8,109.8,3384194,1315430,10705,4168,6537,5363,4316,1048
2021. 03,734,10,11239,275452,249463,24749,4159,3785,374,16519,8311,8209,13169,5871,7298,182.7,2965560,109.6,9267,185.6,133.3,3046339,1602096,15735,7530,8205,6194,4884,1310
2021. 04,735,10,11073,275649,249532,24856,3929,3735,194,14181,7191,6990,14005,7215,6790,182.8,2942575,108.7,9003,186.2,125.9,3035731,1403535,13701,6850,6851,6169,5246,923
2021. 05,736,10,10815,274919,248661,24993,4219,4032,187,11394,6165,5229,12129,7127,5002,163,2935678,108.6,8951,166.1,113.1,3036286,1282930,11052,5839,5213,5918,5338,581
2021. 06,737,10,10921,274690,247846,25574,4860,4457,402,12252,6029,6223,12486,7019,5467,180.8,3004625,109.5,8810,184.9,118.3,3113272,1326282,11741,5623,6118,5975,5157,818
2021. 07,738,10,11109,274010,247635,25150,4925,4657,269,12303,6102,6202,12938,6670,6268,179.3,3137298,108.3,8891,182.9,125.3,3249328,1428695,11747,5574,6173,6619,5317,1302
2021. 08,739,10,10978,274645,247104,26356,5593,4869,724,14285,5838,8446,13610,6070,7540,170.9,3049220,107.9,8849,175.3,111.5,3183633,1241024,13927,5501,8425,5950,4649,1301
2021. 09,740,10,10644,276573,248205,27184,5737,5068,670,16149,6208,9941,14219,5499,8720,160.8,3520780,110.7,8843,165.5,108.7,3717760,1315739,15566,5639,9928,5924,4622,1302
2021. 10,741,10,9874,275652,247155,27320,5293,4849,444,14196,6719,7477,15110,7831,7279,164.9,3057183,106.7,8824,168.6,116.1,3181652,1392068,13510,6051,7459,6834,5892,941
2021. 11,742,10,9398,277266,247819,28270,4969,4594,375,14304,7303,7001,12690,6556,6134,182.7,3076622,114.4,8828,186.5,126.7,3185601,1457298,13549,6576,6973,6190,5193,998
