AfghanistanCR1,,2
AfghanistanIR1,,19
AfghanistanIR5,,1
AfghanistanSQ,,162
AlbaniaCR1,,19
AlbaniaCR2,,1
AlbaniaF4,,7
AlbaniaIH3,,1
AlbaniaIR1,,27
AlbaniaIR2,,7
AlbaniaIR5,,15
AlgeriaCR1,,5
AlgeriaF2A,,1
AlgeriaIR1,,25
AlgeriaIR2,,4
AlgeriaIR5,,2
AlgeriaSB1,,1
AlgeriaSE,,1
AngolaCR1,,1
AngolaF2B,,1
AngolaIR1,,1
AngolaIR2,,1
Antigua and BarbudaCR1,,3
Antigua and BarbudaIR2,,4
ArgentinaCR1,,6
ArgentinaF4,,1
ArgentinaFX,,1
ArgentinaIR1,,12
ArgentinaIR2,,12
ArmeniaCR1,,9
ArmeniaIR1,,8
ArmeniaIR2,,5
ArmeniaIW,,1
ArmeniaSB1,,1
ArmeniaSE,,1
AustraliaCR1,,25
AustraliaE2,,1
AustraliaE3,,2
AustraliaIR1,,17
Australia,IR2,4
Austria,CR1,1
Austria,IR1,3
Austria,IR2,2
Azerbaijan,CR1,1
Azerbaijan,IR1,3
"Bahamas, The",CR1,3
"Bahamas, The",E3,11
"Bahamas, The",IR1,8
"Bahamas, The",IR2,7
Bahrain,CR1,1
Bahrain,E3,12
Bangladesh,CR1,184
Bangladesh,CR2,1
Bangladesh,F4,26
Bangladesh,FX,4
Bangladesh,IR1,302
Bangladesh,IR2,52
Bangladesh,IR4,2
Bangladesh,IR5,7
Barbados,CR1,3
Barbados,CR2,1
Barbados,IR1,3
Belarus,CR1,2
Belarus,CR2,3
Belarus,IR1,5
Belarus,IR2,2
Belarus,SB1,1
Belgium,IR1,4
Belgium,IR2,1
Belize,E3,3
Belize,F1,1
Belize,FX,1
Belize,IR1,4
Belize,IR2,10
Belize,IW,1
Benin,CR1,2
Benin,CR2,1
Benin,IR1,11
Benin,IR2,31
Bermuda,IR1,2
Bermuda,IR2,1
Bhutan,CR2,1
Bhutan,IR2,3
Bolivia,IR1,3
Bolivia,IR2,5
Bosnia-Herzegovina,CR1,3
Bosnia-Herzegovina,IR1,5
Botswana,IR2,2
Brazil,CR1,4
Brazil,CR2,1
Brazil,E1,1
Brazil,E2,2
Brazil,E3,2
Brazil,FX,1
Brazil,IR1,24
Brazil,IR2,8
British Virgin Islands,IR1,1
Bulgaria,CR1,3
Bulgaria,CR2,2
Bulgaria,IH3,7
Bulgaria,IR1,3
Bulgaria,IR2,3
Burkina Faso,CR1,3
Burkina Faso,IH3,1
Burkina Faso,IR1,9
Burkina Faso,IR2,20
Burkina Faso,IR5,1
Burma,CR1,9
Burma,CR2,1
Burma,IR1,13
Burma,IR2,2
Burma,SB1,1
Burundi,CR1,1
Burundi,DV,1
Cabo Verde,CR1,3
Cabo Verde,F1,4
Cabo Verde,F2B,8
Cabo VerdeFX,,14
Cabo VerdeIR1,,1
Cabo VerdeIR2,,11
Cabo VerdeIR5,,1
Cabo VerdeSB1,,1
CambodiaCR1,,4
CambodiaF4,,3
CambodiaIR1,,11
CambodiaIR2,,8
CambodiaSB1,,1
CameroonCR1,,15
CameroonCR2,,4
CameroonE3,,1
CameroonIR1,,22
CameroonIR2,,42
CameroonIR5,,3
CameroonSB1,,2
CanadaCR1,,42
CanadaCR2,,2
CanadaE3,,8
CanadaI5,,1
CanadaIR1,,104
CanadaIR2,,19
CanadaSB1,,1
ChadCR1,,1
ChadIR1,,1
ChileCR1,,4
ChileFX,,1
ChileIR1,,18
ChileIR2,,5
China - mainland bornCR1,,44
China - mainland bornCR2,,8
China - mainland bornF4,,2
China - mainland bornIR1,,82
China - mainland bornIR2,,29
China - mainland bornSB1,,5
China - Taiwan bornCR1,,1
China - Taiwan bornI5,,12
China - Taiwan bornIR1,,6
Page 4 of 20,,
by Foreign State of Chargeability,,
or Place of Birth,,
February 2021 (FY 2021),,
Foreign State of Chargeability,,
or Place of BirthVisa Class,,Issuances
China - Taiwan bornIR2,,2
China - Taiwan bornIR3,,1
China - Taiwan bornIR4,,2
China - Taiwan bornIR5,,1
China - Taiwan bornIW,,1
China - Taiwan bornSB1,,1
ColombiaCR1,,10
ColombiaCR2,,4
ColombiaE1,,2
ColombiaE2,,6
ColombiaE3,,10
ColombiaF1,,4
ColombiaF2B,,2
ColombiaF4,,2
ColombiaIH3,,19
ColombiaIR1,,43
ColombiaIR2,,24
ColombiaIR5,,6
ColombiaIW,,1
ColombiaSB1,,13
ColombiaSE,,2
"Congo, Democratic Republic of theCR1",,7
"Congo, Democratic Republic of theCR2",,1
"Congo, Democratic Republic of theIR1",,9
"Congo, Democratic Republic of theIR2",,7
"Congo, Democratic Republic of theSB1",,1
"Congo, Republic of theCR1",,1
Costa RicaCR1,,10
Costa RicaCR2,,2
Costa RicaIH3,,4
Costa RicaIR1,,19
Costa RicaIR2,,14
Cote d'IvoireCR1,,8
Cote d'IvoireFX,,1
Cote d'IvoireIR1,,8
Cote d'IvoireIR2,,12
Cote d'IvoireIR3,,2
Cote d'IvoireSB1,,1
CroatiaCR1,,2
Croatia,E2,1
Croatia,IR1,1
Cuba,CR1,33
Cuba,CR2,2
Cuba,FX,7
Cuba,IR1,230
Cuba,IR2,89
Cuba,IW,1
Cuba,SB1,1
Czech Republic,IR1,3
Djibouti,IR1,1
Dominica,CR1,5
Dominica,CR2,1
Dominica,IR1,5
Dominica,IR2,3
Dominican Republic,CR1,61
Dominican Republic,CR2,9
Dominican Republic,FX,1
Dominican Republic,IB1,2
Dominican Republic,IR1,296
Dominican Republic,IR2,239
Dominican Republic,IW,4
Dominican Republic,SB1,3
Ecuador,CR1,14
Ecuador,CR2,4
Ecuador,IR1,76
Ecuador,IR2,34
Ecuador,IW,1
Egypt,CR1,20
Egypt,CR2,1
Egypt,E2,3
Egypt,E3,4
Egypt,F4,4
Egypt,FX,1
Egypt,IR1,27
Egypt,IR2,10
Egypt,IR4,2
Egypt,IR5,4
Egypt,SE,3
El SalvadorCR1,,16
El SalvadorCR2,,4
El SalvadorF4,,5
El SalvadorFX,,4
El SalvadorIR1,,211
El SalvadorIR2,,81
EritreaCR1,,2
EritreaIR1,,9
EritreaIR5,,1
EritreaSB1,,1
EritreaSE,,6
EstoniaIR1,,1
EthiopiaCR1,,18
EthiopiaIR1,,69
EthiopiaIR2,,31
EthiopiaSE,,10
FijiCR1,,4
FijiCR2,,2
FijiIR1,,1
FinlandCR1,,1
FranceCR1,,11
FranceCR2,,1
FranceIR1,,14
FranceIR2,,3
GabonIR2,,1
"Gambia, The IR1",,8
"Gambia, The IR2",,6
"Gambia, The IR5",,1
"Gambia, The SB1",,2
GeorgiaCR1,,8
GeorgiaE1,,1
GeorgiaIR1,,2
GeorgiaIR2,,2
GeorgiaSE,,3
GermanyCR1,,18
GermanyE2,,1
GermanyIR1,,16
GermanyIR2,,8
GermanySB1,,1
CR1Ghana,,9
CR2Ghana,,2
E3Ghana,,2
IB2Ghana,,1
IR1Ghana,,112
IR2Ghana,,57
IR5Ghana,,6
IWGhana,,1
Great Britain and Northern IrelandCR1,,43
Great Britain and Northern IrelandCR2,,3
Great Britain and Northern IrelandE3,,1
Great Britain and Northern IrelandIR1,,46
Great Britain and Northern IrelandIR2,,17
Great Britain and Northern IrelandSB1,,1
GreeceCR1,,2
GreeceIR1,,3
GreeceIR2,,2
GrenadaCR1,,3
GrenadaE3,,1
GrenadaIR1,,2
GrenadaIR2,,9
GuatemalaCR1,,1
GuatemalaCR2,,1
GuatemalaF4,,2
GuatemalaIR1,,37
GuatemalaIR2,,17
GuatemalaIR5,,1
GuatemalaSU,,1
GuineaCR1,,4
GuineaCR2,,1
GuineaIR1,,12
GuineaIR2,,10
GuineaIR5,,2
GuyanaCR1,,21
GuyanaCR2,,6
GuyanaE3,,3
GuyanaF4,,1
GuyanaFX,,1
