Afghanistan,CR1,4
Afghanistan,F1,8
Afghanistan,F2B,2
Afghanistan,F3,8
Afghanistan,F4,8
Afghanistan,FX,62
Afghanistan,IR1,27
Afghanistan,IR2,2
Afghanistan,IR5,41
Afghanistan,SI,4
Afghanistan,SQ,365
Albania,CR1,5
Albania,DV,6
Albania,E1,4
Albania,F2B,3
Albania,F4,1
Albania,FX,4
Albania,IR1,14
Albania,IR5,18
Albania,SB1,2
Albania,SE,8
Algeria,CR1,30
Algeria,DV,55
Algeria,FX,21
Algeria,IR1,61
Algeria,IR2,11
Algeria,IR5,9
Angola,FX,1
Angola,I5,1
Angola,IR5,1
Antigua and Barbuda,CR1,1
Antigua and Barbuda,CR2,1
Antigua and Barbuda,F1,3
Antigua and Barbuda,F2B,1
Antigua and Barbuda,IR1,2
Argentina,CR1,12
Argentina,CR2,1
Argentina,E1,1
Argentina,E2,3
Argentina,F4,1
Argentina,FX,2
Argentina,IR1,22
Argentina,IR2,15
Argentina,IR5,11
Argentina,SB1,4
Armenia,CR1,13
Armenia,E1,1
Armenia,E3,4
Armenia,F1,12
Armenia,F2B,3
Armenia,FX,10
Armenia,IR1,10
Armenia,IR2,13
Armenia,IR5,27
Armenia,SB1,1
Australia,CR1,16
Australia,I5,1
Australia,IR1,16
Australia,IR2,1
Australia,IR5,5
Australia,SB1,3
Austria,CR1,2
Austria,E1,1
Austria,IR1,2
Austria,IR5,3
Austria,SB1,2
Azerbaijan,CR1,2
Azerbaijan,DV,9
Azerbaijan,I5,4
Azerbaijan,IR1,2
Azerbaijan,IR2,1
"Bahamas, The",CR1,1
"Bahamas, The",E3,7
"Bahamas, The",F1,1
"Bahamas, The",F3,1
"Bahamas, The",FX,2
"Bahamas, The",IR5,15
"Bahamas, The",SD,1
Bahrain,CR1,1
Bahrain,E3,4
Bahrain,IR2,1
Bangladesh,CR1,32
Bangladesh,E2,2
Bangladesh,F4,38
Bangladesh,FX,4
Bangladesh,IR1,77
Bangladesh,IR2,20
Bangladesh,IR5,24
Barbados,F1,3
Barbados,F2B,2
Barbados,FX,3
Barbados,IR1,2
Barbados,IR2,1
Belarus,CR1,1
Belarus,E1,1
Belarus,F2B,1
Belarus,F4,1
Belarus,IR1,3
Belarus,IR2,3
Belarus,IR5,1
Belarus,SB1,2
Belgium,CR1,3
Belgium,FX,1
Belgium,IR1,3
Belgium,IR2,1
Belgium,IR5,1
Belgium,SQ,2
Belize,CR1,1
Belize,FX,1
Belize,IR1,1
Belize,IR2,4
Belize,IR5,9
Benin,CR1,2
Benin,FX,1
Benin,IR1,6
Benin,IR2,9
Benin,IR5,3
Benin,SE,2
Bermuda,F1,2
Bhutan,CR1,1
Bhutan,DV,2
Bolivia,F2B,2
Bolivia,F4,6
Bolivia,IR1,10
Bolivia,IR2,8
Bosnia-Herzegovina,CR1,1
Bosnia-Herzegovina,E2,1
Bosnia-Herzegovina,F4,12
Bosnia-Herzegovina,FX,1
Bosnia-Herzegovina,IR1,2
Bosnia-Herzegovina,IR5,15
Botswana,CR1,1
Botswana,IR1,1
Brazil,CR1,15
Brazil,CR2,1
Brazil,E2,6
Brazil,E3,4
Brazil,EW,2
Brazil,F3,1
Brazil,FX,5
Brazil,I5,2
Brazil,IR1,83
Brazil,IR2,42
Brazil,IR5,2
Brazil,SB1,4
Bulgaria,CR1,2
Bulgaria,DV,2
Bulgaria,E3,3
Bulgaria,FX,1
Bulgaria,IH3,6
Bulgaria,IR1,3
Bulgaria,IR2,1
Bulgaria,IR5,22
Burkina Faso,CR1,1
Burkina Faso,FX,13
Burkina Faso,IH3,1
Burkina FasoIR2,,8
Burkina FasoIR5,,5
BurmaCR1,,2
BurmaF1,,1
BurmaF4,,7
BurmaFX,,2
BurmaIR1,,10
BurmaIR2,,4
BurundiFX,,2
BurundiIR1,,3
Cabo VerdeF1,,11
Cabo VerdeF2B,,18
Cabo VerdeF3,,2
Cabo VerdeF4,,3
Cabo VerdeFX,,14
Cabo VerdeIR1,,1
Cabo VerdeIR2,,6
Cabo VerdeIR5,,7
Cabo VerdeSB1,,2
CambodiaCR1,,6
CambodiaDV,,2
CambodiaF3,,4
CambodiaFX,,3
CambodiaIR1,,11
CambodiaIR2,,3
CambodiaIR5,,179
CameroonCR1,,10
CameroonDV,,14
CameroonE3,,3
CameroonF1,,4
CameroonF2A,,1
CameroonF2B,,6
CameroonF4,,2
CameroonFX,,62
CameroonIR1,,15
CameroonIR2,,48
CameroonIR5,,166
CameroonSB1,,3
CameroonSE,,6
Canada,CR1,70
Canada,CR2,2
Canada,E2,2
Canada,E3,7
Canada,F3,1
Canada,IR1,95
Canada,IR2,28
Canada,IR5,2
Cayman Islands,E3,1
Central African Republic,IR5,1
Chad,DV,1
Chad,IR1,3
Chad,IR2,1
