indmc,eta
0,0.261617578
10,0.481641868
11,0.45497886
13,0.074421837
14,0.151713365
15,0.153887529
16,0.193037063
17,0.585885557
18,0.100662352
19,0.653399939
20,0.573772637
21,0.834695617
22,0.660498223
23,0.035159044
24,0.677329166
25,0.249691247
26,0.3297887
27,0.259853827
28,0.328377767
29,0.137343293
30,0.137956759
31,0.3865529
32,0.550362558
33,0.862202109
