indmc,eta
0,0.223408845
10,0.41842747
11,0.070731994
13,0.05506241
14,0.140607788
15,0.153234847
16,0.2513287
17,0.583191428
18,0.687355716
19,0.451968611
20,0.564417019
21,0.679226578
22,0.876648502
23,0.060324441
24,0.67960544
25,0.106764164
26,0.918874372
27,0.071055044
28,0.899553369
29,0.453387937
30,0.214116989
31,0.605080697
32,0.860772471
33,0.053290712
