fw,numd,dw,prod,u,v
12.64932645,14.9930132,14.89211698,4.59354287,0.623713551,0.456236103
12.64750488,14.99895866,14.89888348,4.623746572,0.662094704,0.379376542
12.67008621,15.00430322,14.90239636,4.59228757,0.628267001,0.332321993
12.68557468,15.00456361,14.90100924,4.603037944,0.613666973,0.351087131
12.69882923,15.01329043,14.90924078,4.6121458,0.626974418,0.301825555
12.70295722,15.01349145,14.9090103,4.591111788,0.6246718,0.38751605
12.6957394,15.01816479,14.91498464,4.587678077,0.608205333,0.370604959
12.68475432,15.0182477,14.91626322,4.571737469,0.623454868,0.307837211
12.67897547,15.0219558,14.92098458,4.581666137,0.631396024,0.331435502
12.66892243,15.0246494,14.92502289,4.600308377,0.625701183,0.446678002
12.66607556,15.02925437,14.93040533,4.609560534,0.653468959,0.471833017
12.66115437,15.02744796,14.92892196,4.617622335,0.642110274,0.517761177
12.66627783,15.03182618,14.93322304,4.625364893,0.652257059,0.506048692
12.66969974,15.03084784,14.93178757,4.609480882,0.629822269,0.543414917
12.67592392,15.03480981,14.93551369,4.591010428,0.616480584,0.573833042
12.69477391,15.0359224,14.93475634,4.593046976,0.63921963,0.598438455
12.71155843,15.03859722,14.93591728,4.594493432,0.616745503,0.580912593
12.72204905,15.03810706,14.93423239,4.597541139,0.578216124,0.575262734
12.73452188,15.04219587,14.93739917,4.588420663,0.584831525,0.580261981
12.73715365,15.04482796,14.94003131,4.607048421,0.559615445,0.55805663
12.74333537,15.04351088,14.93788228,4.590665479,0.553870515,0.50459598
12.75013708,15.04871842,14.9429121,4.607387725,0.572075838,0.330361317
12.75109968,15.05184939,14.94628473,4.604570026,0.556966969,0.63990135
12.75121981,15.05184154,14.94626262,4.626892538,0.578663228,0.608869573
12.75092191,15.05444782,14.94919178,4.630457744,0.567528174,0.657705374
12.74860985,15.05816518,14.95357616,4.619033643,0.555630945,0.622985841
12.75395559,15.0616597,14.95686635,4.622135458,0.544762189,0.642481584
12.77915732,15.06773167,14.96080221,4.621230526,0.575263071,0.61329905
12.80221632,15.06918511,14.95978775,4.592672444,0.539075356,0.605680991
12.81041501,15.07426696,14.96450866,4.623442231,0.552129147,0.551523246
12.82312665,15.07966525,14.96905506,4.632532403,0.578666087,0.514011244
12.8382247,15.08029018,14.96797345,4.598467785,0.57145514,0.509497382
12.83719532,15.08313258,14.97127509,4.592399011,0.596576311,0.476166848
12.84113105,15.08759593,14.97580087,4.577511209,0.601519382,0.523407953
12.84854616,15.08896595,14.97645346,4.588268117,0.599525879,0.521443732
12.85065373,15.091783,14.97935497,4.619487207,0.631605498,0.491788788
12.85093164,15.09238897,14.97999994,4.580877473,0.646082512,0.512148249
12.84795714,15.09140729,14.9792551,4.611152258,0.651633176,0.51719126
12.84749115,15.09325627,14.98137845,4.588024058,0.673382898,0.532304669
12.85340819,15.0935218,14.98097285,4.600157644,0.679266843,0.585085854
12.86222498,15.0918363,14.97802882,4.584967479,0.631645484,0.530512891
12.86855593,15.09335742,14.97896866,4.604169706,0.679336349,0.446574485
12.87846362,15.09582782,14.98053399,4.594109259,0.682042451,0.419701751
12.87639266,15.09537411,14.98027772,4.62399194,0.65689924,0.461585799
12.88065027,15.09673631,14.98128614,4.635699391,0.678906563,0.544162658
12.87889928,15.09982701,14.98496778,4.618086411,0.675896286,0.53274994
12.87339291,15.10088204,14.98681848,4.6121458,0.67647385,0.502795428
12.87002608,15.10587507,14.99281689,4.606169686,0.695368661,0.485736036
12.86378693,15.10418989,14.99167538,4.59511985,0.714754062,0.469854431
12.85254226,15.10049867,14.98887992,4.613138356,0.744022408,0.488828021
12.84623547,15.1003905,14.98950115,4.615120517,0.760438051,0.520422942
12.85291415,15.10026626,14.98857612,4.605170186,0.736022266,0.530953081
12.85616967,15.10032354,14.98825483,4.64053733,0.747219039,0.546973467
12.86447915,15.10056452,14.98753463,4.642465971,0.756644191,0.549557948
12.87032512,15.10136478,14.98772935,4.632785353,0.743846236,0.537069287
12.87200383,15.10209949,14.98835037,4.615120517,0.770457003,0.550668797
12.87797959,15.10422351,14.99000939,4.619073091,0.747749943,0.587270698
12.87498533,15.10624236,14.99263309,4.611152258,0.688592624,0.549204059
12.87217481,15.10825851,14.99522837,4.656813419,0.74319503,0.537231052
12.86804678,15.10917661,14.99674868,4.647271362,0.730281681,0.554218276
12.85138895,15.10752583,14.99686867,4.670021158,0.697269771,0.498398648
12.83392518,15.10572427,14.99688386,4.652053772,0.735830402,0.579544962
12.8255129,15.10582692,14.99796096,4.667205577,0.714615234,0.592267168
12.82981742,15.10614608,14.99782516,4.648229675,0.671122099,0.556112516
12.83179998,15.10479472,14.9960917,4.657762636,0.677148938,0.578516328
12.84122187,15.10428194,14.99443177,4.646312129,0.681161691,0.649765193
12.85094843,15.10438005,14.99340588,4.648229675,0.65743373,0.58911273
12.84894223,15.10470243,14.99400117,4.653007515,0.691243269,0.590435986
12.85803904,15.11039497,14.99929447,4.656813419,0.717217112,0.570180018
12.8591826,15.11021581,14.99895974,4.660604893,0.599408261,0.546447754
12.86227466,15.11298245,15.00168811,4.6558633,0.711519177,0.508449222
12.87020602,15.11474454,15.0027214,4.631812117,0.693052226,0.560253984
12.87264282,15.12835185,15.01764461,4.65396035,0.724846554,0.570868241
12.86545208,15.12542159,15.0152119,4.662495253,0.736635027,0.563193267
12.86832632,15.12573753,15.01522938,4.648229675,0.749542117,0.571156085
